Identifier,N_kw = 5,N_kw = 10,N_kw = 15
1160,229,#N/A,#N/A
1165,580,279,#N/A
1167,4586,1981,#N/A
1168,#N/A,#N/A,#N/A
1179,#N/A,#N/A,#N/A
1184,2329,#N/A,599
1185,1083,1913,#N/A
1186,#N/A,#N/A,#N/A
1190,1348,3367,243
1194,#N/A,#N/A,#N/A
1195,#N/A,#N/A,1439
1198,4674,#N/A,#N/A
1203,#N/A,#N/A,#N/A
1210,#N/A,#N/A,#N/A
1219,#N/A,2478,#N/A
1231,1306,#N/A,#N/A
1233,#N/A,#N/A,#N/A
1241,4504,#N/A,#N/A
1242,#N/A,#N/A,#N/A
1245,#N/A,#N/A,#N/A
1246,4272,2573,#N/A
1248,2978,#N/A,#N/A
1254,#N/A,#N/A,#N/A
1256,#N/A,#N/A,#N/A
1261,698,#N/A,1330
1270,594,#N/A,#N/A
1273,#N/A,2025,#N/A
1276,1887,3480,#N/A
1280,2829,3129,#N/A
1287,4688,#N/A,#N/A
1288,1674,#N/A,#N/A
1290,#N/A,#N/A,#N/A
1295,#N/A,#N/A,303
1298,1844,#N/A,#N/A
1312,394,1140,#N/A
1314,396,3103,374
1320,1965,#N/A,#N/A
1327,4654,#N/A,#N/A
1331,#N/A,#N/A,#N/A
1333,#N/A,#N/A,#N/A
1337,#N/A,515,#N/A
1343,#N/A,#N/A,#N/A
1351,#N/A,#N/A,#N/A
1358,#N/A,#N/A,#N/A
1362,#N/A,2850,#N/A
1368,#N/A,2864,#N/A
1382,#N/A,#N/A,#N/A
1389,4343,#N/A,1565
1393,#N/A,#N/A,#N/A
1397,4521,2583,#N/A
1416,#N/A,#N/A,#N/A
1435,#N/A,#N/A,#N/A
1442,#N/A,#N/A,#N/A
1457,86,340,#N/A
1462,#N/A,#N/A,#N/A
1464,3927,2222,#N/A
1466,907,#N/A,#N/A
1477,1614,#N/A,#N/A
1481,#N/A,#N/A,774
1488,1354,957,#N/A
1492,#N/A,#N/A,#N/A
1494,#N/A,#N/A,#N/A
1495,1199,1416,#N/A
1500,3158,#N/A,147
1502,#N/A,#N/A,#N/A
1504,#N/A,#N/A,#N/A
1506,2012,1156,#N/A
1509,2445,706,#N/A
1510,1803,412,#N/A
1512,#N/A,#N/A,#N/A
1513,#N/A,#N/A,#N/A
1526,521,2690,#N/A
1534,2706,#N/A,#N/A
1537,#N/A,#N/A,#N/A
1548,835,443,#N/A
1553,265,#N/A,#N/A
1555,1073,484,#N/A
1565,#N/A,#N/A,#N/A
1572,#N/A,2430,1480
1577,590,1353,#N/A
1595,#N/A,#N/A,#N/A
1613,#N/A,#N/A,#N/A
1614,4701,#N/A,#N/A
1618,602,1082,#N/A
1621,#N/A,#N/A,#N/A
1623,#N/A,#N/A,#N/A
1624,#N/A,#N/A,#N/A
1627,#N/A,#N/A,#N/A
1631,3634,2431,#N/A
1634,4268,#N/A,#N/A
1636,3273,2731,#N/A
1638,#N/A,#N/A,#N/A
1645,1616,2279,#N/A
1662,#N/A,#N/A,#N/A
1665,1105,2007,#N/A
1681,#N/A,#N/A,#N/A
1683,#N/A,3326,#N/A
1688,1727,1430,#N/A
1695,#N/A,#N/A,#N/A
1698,#N/A,#N/A,#N/A
1705,#N/A,#N/A,#N/A
1709,#N/A,#N/A,#N/A
1718,2075,1283,#N/A
1724,#N/A,2979,#N/A
1727,#N/A,#N/A,#N/A
1728,1744,#N/A,#N/A
1738,#N/A,3370,#N/A
1752,#N/A,#N/A,#N/A
1758,2416,#N/A,#N/A
1764,#N/A,#N/A,#N/A
1783,2953,#N/A,#N/A
1785,#N/A,#N/A,#N/A
1796,46,480,#N/A
1801,3842,1921,1196
1802,3366,#N/A,#N/A
1804,#N/A,#N/A,#N/A
1810,4628,#N/A,#N/A
1830,#N/A,2286,#N/A
1832,1778,#N/A,#N/A
1833,#N/A,#N/A,#N/A
1840,354,#N/A,#N/A
1844,#N/A,#N/A,#N/A
1848,3115,#N/A,#N/A
1854,2301,#N/A,#N/A
1858,#N/A,2200,#N/A
1861,2388,#N/A,279
1866,#N/A,#N/A,#N/A
1872,225,1767,#N/A
1873,#N/A,#N/A,#N/A
1875,#N/A,#N/A,#N/A
1877,2850,#N/A,#N/A
1879,2782,#N/A,#N/A
1884,2293,2230,1050
1894,403,#N/A,1242
1910,3368,405,#N/A
1929,1183,1511,456
1932,#N/A,#N/A,#N/A
1933,#N/A,#N/A,#N/A
1936,1063,#N/A,1399
1937,4190,743,#N/A
1948,2432,1397,1398
1951,#N/A,#N/A,#N/A
1954,#N/A,#N/A,#N/A
1957,866,196,122
1959,311,#N/A,#N/A
1970,#N/A,#N/A,#N/A
1971,576,2966,973
1972,#N/A,#N/A,#N/A
1973,3429,#N/A,#N/A
1974,#N/A,#N/A,#N/A
1978,#N/A,#N/A,#N/A
2000,#N/A,#N/A,#N/A
2014,#N/A,#N/A,773
2015,#N/A,#N/A,#N/A
2021,3353,1522,#N/A
2031,922,134,56
2034,96,79,13
2045,#N/A,#N/A,#N/A
2051,#N/A,#N/A,#N/A
2055,#N/A,#N/A,#N/A
2060,2363,#N/A,#N/A
2086,595,#N/A,#N/A
2091,#N/A,#N/A,#N/A
2095,#N/A,1996,#N/A
2101,1059,#N/A,#N/A
2102,193,39,367
2104,130,1014,648
2105,#N/A,#N/A,#N/A
2116,#N/A,#N/A,#N/A
2138,2593,689,264
2165,3532,#N/A,#N/A
2167,#N/A,#N/A,#N/A
2169,1049,782,871
2170,#N/A,1456,885
2175,569,2454,#N/A
2181,1651,#N/A,#N/A
2187,#N/A,#N/A,#N/A
2191,#N/A,#N/A,#N/A
2201,2526,#N/A,#N/A
2202,#N/A,#N/A,#N/A
2204,2604,#N/A,#N/A
2211,#N/A,#N/A,#N/A
2219,425,#N/A,#N/A
2220,1400,136,121
2226,1150,1145,938
2230,#N/A,#N/A,#N/A
2231,6,#N/A,302
2236,2696,#N/A,#N/A
2237,2151,#N/A,#N/A
2243,1811,#N/A,#N/A
2250,#N/A,#N/A,#N/A
2260,#N/A,2549,#N/A
2269,#N/A,#N/A,#N/A
2272,#N/A,#N/A,666
2280,#N/A,#N/A,#N/A
2287,2998,3238,58
2296,#N/A,#N/A,#N/A
2298,540,227,114
2299,#N/A,#N/A,#N/A
2304,#N/A,1155,#N/A
2310,#N/A,#N/A,#N/A
2316,#N/A,#N/A,#N/A
2331,#N/A,#N/A,#N/A
2337,#N/A,#N/A,#N/A
2338,175,#N/A,#N/A
2342,687,2633,#N/A
2346,495,#N/A,#N/A
2347,#N/A,#N/A,#N/A
2349,#N/A,#N/A,#N/A
2359,529,#N/A,#N/A
2360,#N/A,#N/A,#N/A
2362,499,420,#N/A
2365,#N/A,#N/A,#N/A
2366,3302,992,#N/A
2368,385,#N/A,#N/A
2384,#N/A,#N/A,1231
2385,#N/A,#N/A,#N/A
2389,#N/A,#N/A,#N/A
2399,1820,#N/A,#N/A
2404,3132,742,#N/A
2414,#N/A,3206,#N/A
2415,#N/A,3111,#N/A
2420,#N/A,#N/A,#N/A
2437,#N/A,#N/A,#N/A
2439,#N/A,#N/A,#N/A
2440,936,#N/A,#N/A
2454,4618,#N/A,#N/A
2459,2639,#N/A,#N/A
2464,253,774,872
2467,2576,#N/A,#N/A
2471,1415,3224,#N/A
2474,#N/A,#N/A,#N/A
2482,#N/A,2995,#N/A
2490,#N/A,#N/A,#N/A
2491,#N/A,#N/A,#N/A
2492,2103,#N/A,1566
2501,4493,#N/A,#N/A
2502,418,#N/A,#N/A
2505,#N/A,#N/A,#N/A
2511,#N/A,#N/A,#N/A
2512,#N/A,#N/A,#N/A
2514,242,#N/A,#N/A
2523,#N/A,#N/A,#N/A
2524,#N/A,#N/A,600
2525,3561,#N/A,#N/A
2528,#N/A,527,#N/A
2532,3054,1505,745
2533,3007,1887,#N/A
2535,#N/A,#N/A,#N/A
2536,#N/A,#N/A,#N/A
2540,#N/A,#N/A,#N/A
2541,#N/A,994,#N/A
2542,2295,#N/A,#N/A
2551,1313,#N/A,#N/A
2555,1489,#N/A,#N/A
2556,#N/A,1884,#N/A
2557,#N/A,#N/A,#N/A
2568,#N/A,1367,#N/A
2569,#N/A,#N/A,#N/A
2578,2756,1073,#N/A
2580,#N/A,#N/A,#N/A
2584,#N/A,#N/A,#N/A
2593,585,175,148
2594,#N/A,#N/A,#N/A
2595,2905,3004,#N/A
2599,#N/A,#N/A,#N/A
2600,1318,3485,#N/A
2607,473,2360,#N/A
2609,#N/A,#N/A,#N/A
2613,1168,#N/A,#N/A
2614,#N/A,#N/A,#N/A
2617,1894,#N/A,#N/A
2621,3576,#N/A,#N/A
2635,#N/A,1899,634
2637,618,647,668
2640,#N/A,671,1104
2647,#N/A,#N/A,#N/A
2648,#N/A,2143,#N/A
2649,#N/A,#N/A,#N/A
2653,#N/A,#N/A,#N/A
2657,#N/A,#N/A,#N/A
2664,4195,#N/A,#N/A
2669,#N/A,#N/A,#N/A
2670,#N/A,#N/A,#N/A
2671,#N/A,#N/A,#N/A
2680,#N/A,#N/A,#N/A
2686,#N/A,#N/A,#N/A
2688,#N/A,#N/A,#N/A
2692,101,1202,#N/A
2698,#N/A,#N/A,#N/A
2703,3645,#N/A,#N/A
2706,#N/A,#N/A,#N/A
2710,2713,#N/A,#N/A
2723,#N/A,1941,#N/A
2734,#N/A,#N/A,#N/A
2735,4672,#N/A,#N/A
2743,#N/A,1641,#N/A
2744,#N/A,1413,#N/A
2747,1953,#N/A,1135
2751,#N/A,#N/A,#N/A
2754,#N/A,#N/A,1341
2756,#N/A,#N/A,#N/A
2757,#N/A,#N/A,#N/A
2760,#N/A,3274,#N/A
2767,#N/A,3223,#N/A
2788,#N/A,#N/A,#N/A
2795,#N/A,#N/A,#N/A
2800,#N/A,3139,1133
2804,#N/A,#N/A,#N/A
2805,2645,#N/A,#N/A
2807,2369,#N/A,#N/A
2811,#N/A,#N/A,#N/A
2817,3223,1081,#N/A
2818,399,331,1515
2825,2893,#N/A,#N/A
2826,#N/A,#N/A,#N/A
2827,#N/A,#N/A,#N/A
2830,#N/A,2501,#N/A
2835,#N/A,3444,#N/A
2842,#N/A,#N/A,#N/A
2864,#N/A,#N/A,#N/A
2868,#N/A,#N/A,#N/A
2869,#N/A,#N/A,#N/A
2870,3234,2502,#N/A
2871,3601,#N/A,#N/A
2873,2283,593,#N/A
2879,#N/A,#N/A,#N/A
2887,#N/A,#N/A,#N/A
2892,#N/A,#N/A,#N/A
2894,#N/A,#N/A,#N/A
2896,#N/A,#N/A,#N/A
2897,#N/A,#N/A,#N/A
2898,4716,1111,#N/A
2903,1715,2957,#N/A
2928,2387,#N/A,#N/A
2937,#N/A,#N/A,#N/A
2938,2496,#N/A,#N/A
2939,#N/A,#N/A,#N/A
2943,985,785,#N/A
2946,861,#N/A,#N/A
2953,#N/A,#N/A,#N/A
2961,#N/A,#N/A,#N/A
2964,1857,19,69
2975,1004,#N/A,#N/A
2988,2053,#N/A,#N/A
3006,1525,#N/A,#N/A
3010,991,260,314
3012,2513,951,1164
3020,2951,2146,#N/A
3024,1624,1030,#N/A
3025,3095,2875,#N/A
3026,#N/A,#N/A,#N/A
3029,#N/A,1273,#N/A
3037,#N/A,#N/A,#N/A
3038,#N/A,#N/A,#N/A
3044,#N/A,#N/A,#N/A
3048,305,#N/A,#N/A
3050,1608,3365,#N/A
3058,2677,#N/A,#N/A
3063,#N/A,#N/A,#N/A
3078,1571,#N/A,#N/A
3080,#N/A,#N/A,#N/A
3084,1830,2495,#N/A
3086,162,92,228
3090,4633,#N/A,#N/A
3096,#N/A,#N/A,#N/A
3100,1271,#N/A,#N/A
3108,196,602,440
3111,#N/A,#N/A,#N/A
3113,3891,#N/A,#N/A
3123,1631,#N/A,#N/A
3125,#N/A,#N/A,#N/A
3127,604,3441,966
3128,#N/A,1113,80
3131,#N/A,#N/A,#N/A
3135,4525,#N/A,#N/A
3139,2931,#N/A,#N/A
3143,#N/A,#N/A,#N/A
3146,#N/A,#N/A,#N/A
3150,320,#N/A,#N/A
3153,#N/A,#N/A,#N/A
3154,4713,1293,#N/A
3156,348,1523,#N/A
3158,1807,585,626
3159,#N/A,#N/A,#N/A
3160,#N/A,#N/A,485
3161,3021,#N/A,#N/A
3171,#N/A,#N/A,#N/A
3178,#N/A,#N/A,#N/A
3194,2739,3398,#N/A
3195,3764,2078,1481
3197,2525,#N/A,#N/A
3204,2786,#N/A,#N/A
3206,#N/A,1761,#N/A
3209,#N/A,#N/A,#N/A
3220,#N/A,#N/A,931
3222,#N/A,2300,#N/A
3228,2640,1856,#N/A
3247,3539,#N/A,#N/A
3250,535,377,1150
3251,#N/A,#N/A,#N/A
3260,#N/A,#N/A,#N/A
3261,4772,#N/A,543
3262,#N/A,2069,#N/A
3264,2717,#N/A,#N/A
3266,#N/A,#N/A,#N/A
3268,#N/A,#N/A,#N/A
3276,1539,1346,#N/A
3290,#N/A,#N/A,#N/A
3291,#N/A,3402,#N/A
3292,90,52,#N/A
3295,58,#N/A,115
3296,#N/A,3014,#N/A
3300,378,1148,1247
3306,3397,#N/A,#N/A
3312,3224,2367,1580
3313,#N/A,1121,#N/A
3314,#N/A,1622,#N/A
3322,#N/A,3255,#N/A
3327,#N/A,#N/A,#N/A
3329,#N/A,1165,#N/A
3337,#N/A,#N/A,1388
3338,4246,1282,200
3340,505,138,#N/A
3348,#N/A,3500,#N/A
3349,#N/A,#N/A,#N/A
3350,#N/A,2669,#N/A
