Identifier,N_kw = 5,N_kw = 10,N_kw = 15
4645,3192,670,1423
4647,2007,2134,#N/A
4656,4048,529,994
4657,3735,#N/A,#N/A
4661,3238,2748,#N/A
4672,4686,2566,#N/A
4675,#N/A,#N/A,#N/A
4684,3763,#N/A,#N/A
4687,#N/A,#N/A,#N/A
4690,#N/A,#N/A,#N/A
4694,#N/A,#N/A,#N/A
4699,2895,#N/A,#N/A
4700,#N/A,#N/A,#N/A
4705,2602,#N/A,#N/A
4713,#N/A,#N/A,#N/A
4716,2158,#N/A,#N/A
4721,#N/A,849,#N/A
4724,3768,2746,812
4728,#N/A,#N/A,#N/A
4738,662,#N/A,#N/A
4743,#N/A,#N/A,#N/A
4750,#N/A,#N/A,#N/A
4756,#N/A,875,#N/A
4758,2924,571,223
4759,255,#N/A,#N/A
4762,#N/A,395,120
4763,#N/A,#N/A,#N/A
4764,1559,2438,621
4765,#N/A,#N/A,#N/A
4768,1383,1782,#N/A
4771,1366,1102,1443
4781,#N/A,#N/A,#N/A
4810,3914,#N/A,#N/A
4814,#N/A,1815,525
4821,678,2954,#N/A
4822,1959,#N/A,#N/A
4830,#N/A,2944,#N/A
4831,1,672,23
4833,#N/A,#N/A,#N/A
4841,#N/A,#N/A,#N/A
4852,107,426,#N/A
4854,#N/A,#N/A,#N/A
4855,#N/A,#N/A,#N/A
4862,#N/A,#N/A,#N/A
4865,#N/A,1272,#N/A
4869,4017,1709,#N/A
4870,#N/A,#N/A,#N/A
4877,#N/A,1783,#N/A
4878,#N/A,#N/A,#N/A
4881,3184,#N/A,#N/A
4896,#N/A,3053,#N/A
4900,#N/A,#N/A,#N/A
4903,4297,#N/A,#N/A
4913,352,#N/A,595
4918,#N/A,1265,#N/A
4924,3873,#N/A,#N/A
4932,2431,3136,375
4933,#N/A,#N/A,877
4936,3385,2365,#N/A
4937,4531,3472,#N/A
4940,#N/A,#N/A,#N/A
4943,#N/A,#N/A,#N/A
4950,#N/A,#N/A,#N/A
4955,387,#N/A,#N/A
4967,4110,#N/A,#N/A
4969,#N/A,2618,#N/A
4970,#N/A,#N/A,1551
4975,3075,3505,#N/A
4978,3020,#N/A,#N/A
4985,4092,#N/A,#N/A
4987,2281,497,#N/A
4991,169,935,#N/A
4996,881,2119,96
4997,#N/A,#N/A,#N/A
4999,#N/A,#N/A,#N/A
5001,#N/A,#N/A,#N/A
5009,#N/A,1417,#N/A
5010,#N/A,#N/A,#N/A
5040,2063,1141,#N/A
5043,#N/A,#N/A,#N/A
5050,#N/A,#N/A,#N/A
5053,#N/A,#N/A,#N/A
5074,1038,#N/A,#N/A
5085,4264,#N/A,#N/A
5092,#N/A,#N/A,#N/A
5095,2600,#N/A,#N/A
5096,2413,#N/A,#N/A
5101,297,#N/A,#N/A
5103,3031,#N/A,#N/A
5108,2015,#N/A,1213
5122,#N/A,#N/A,#N/A
5127,4477,766,#N/A
5137,3554,#N/A,#N/A
5164,#N/A,3383,#N/A
5167,#N/A,#N/A,#N/A
5179,#N/A,437,#N/A
5197,#N/A,1268,315
5217,2987,1894,#N/A
5223,4423,791,710
5228,1069,635,241
5234,#N/A,2884,546
5235,#N/A,2179,#N/A
5236,3434,2931,#N/A
5237,1876,#N/A,#N/A
5241,#N/A,#N/A,#N/A
5259,705,3250,#N/A
5265,1724,229,1484
5268,#N/A,#N/A,#N/A
5275,#N/A,3027,#N/A
5276,#N/A,#N/A,#N/A
5291,2357,#N/A,1121
5293,#N/A,#N/A,#N/A
5314,#N/A,#N/A,#N/A
5315,#N/A,#N/A,#N/A
5319,3588,#N/A,#N/A
5320,4024,#N/A,#N/A
5323,1256,2770,393
5327,#N/A,1581,231
5334,3801,2340,#N/A
5336,#N/A,1605,#N/A
5337,#N/A,#N/A,#N/A
5338,3908,#N/A,#N/A
5357,1429,1810,#N/A
5365,583,#N/A,458
5373,#N/A,#N/A,#N/A
5375,2585,#N/A,#N/A
5383,100,#N/A,#N/A
5387,#N/A,#N/A,#N/A
5388,824,534,#N/A
5392,#N/A,1475,#N/A
5400,1861,#N/A,#N/A
5405,958,#N/A,#N/A
5406,#N/A,#N/A,#N/A
5412,2402,#N/A,681
5414,883,#N/A,#N/A
5423,4165,#N/A,#N/A
5424,#N/A,2753,#N/A
5430,#N/A,#N/A,#N/A
5437,1581,#N/A,#N/A
5458,#N/A,#N/A,#N/A
5466,2852,#N/A,#N/A
5470,1924,759,#N/A
5471,#N/A,#N/A,#N/A
5473,#N/A,#N/A,#N/A
5477,2436,2723,#N/A
5494,#N/A,#N/A,#N/A
5498,#N/A,#N/A,#N/A
5502,688,#N/A,#N/A
5507,#N/A,#N/A,#N/A
5514,2715,#N/A,#N/A
5520,438,#N/A,#N/A
5522,#N/A,#N/A,#N/A
5525,#N/A,#N/A,#N/A
5528,#N/A,682,350
5531,383,1650,109
5535,#N/A,#N/A,#N/A
5543,#N/A,#N/A,#N/A
5544,#N/A,#N/A,#N/A
5546,342,2123,1357
5550,#N/A,#N/A,#N/A
5569,842,1806,#N/A
5572,#N/A,#N/A,#N/A
5575,818,#N/A,#N/A
5579,#N/A,#N/A,#N/A
5586,#N/A,#N/A,#N/A
5588,#N/A,#N/A,#N/A
5593,#N/A,3203,#N/A
5602,#N/A,#N/A,#N/A
5603,#N/A,#N/A,#N/A
5614,#N/A,#N/A,1376
5618,461,#N/A,#N/A
5624,#N/A,#N/A,#N/A
5625,#N/A,#N/A,#N/A
5633,2864,#N/A,#N/A
5638,#N/A,3262,#N/A
5648,#N/A,#N/A,#N/A
5656,1194,1395,1270
5659,#N/A,#N/A,#N/A
5660,#N/A,#N/A,#N/A
5667,#N/A,1963,#N/A
5676,#N/A,#N/A,#N/A
5684,4183,#N/A,#N/A
5702,3705,3393,#N/A
5705,588,2061,#N/A
5714,3188,#N/A,#N/A
5716,2723,428,#N/A
5720,1601,#N/A,#N/A
5728,3312,#N/A,#N/A
5755,#N/A,#N/A,#N/A
5756,#N/A,#N/A,#N/A
5759,3587,1219,#N/A
5761,4495,#N/A,#N/A
5762,267,622,#N/A
5784,3268,2319,#N/A
5786,4140,2009,586
5795,#N/A,1046,#N/A
5799,#N/A,#N/A,#N/A
5808,1470,#N/A,#N/A
5820,#N/A,#N/A,#N/A
5821,#N/A,#N/A,#N/A
5823,909,970,#N/A
5828,#N/A,#N/A,#N/A
5838,#N/A,#N/A,#N/A
5846,#N/A,3100,#N/A
5847,4355,3113,#N/A
5853,2820,#N/A,#N/A
5854,4353,873,1098
5855,#N/A,#N/A,#N/A
5856,#N/A,#N/A,#N/A
5857,1160,#N/A,#N/A
5858,#N/A,2793,1491
5860,#N/A,#N/A,#N/A
5862,#N/A,#N/A,#N/A
5864,#N/A,#N/A,#N/A
5872,360,1453,#N/A
5875,1703,568,#N/A
5880,4595,#N/A,79
5883,1676,#N/A,430
5884,1310,#N/A,728
5885,#N/A,#N/A,#N/A
5886,#N/A,#N/A,482
5891,2258,1975,#N/A
5894,120,55,105
5901,3885,#N/A,#N/A
5902,579,2703,#N/A
5910,#N/A,#N/A,#N/A
5925,3456,2259,#N/A
5930,1084,#N/A,#N/A
5931,#N/A,#N/A,#N/A
5933,#N/A,1307,257
5934,#N/A,#N/A,#N/A
5935,#N/A,#N/A,#N/A
5940,3538,#N/A,#N/A
5956,731,#N/A,#N/A
5957,#N/A,#N/A,#N/A
5967,2373,2801,215
5969,#N/A,#N/A,#N/A
5970,2848,2084,910
5973,#N/A,#N/A,#N/A
5976,#N/A,#N/A,#N/A
5982,#N/A,2938,#N/A
5985,#N/A,#N/A,#N/A
5995,#N/A,#N/A,#N/A
5997,663,2962,#N/A
6000,3508,#N/A,#N/A
6003,#N/A,#N/A,#N/A
6009,#N/A,#N/A,#N/A
6012,#N/A,#N/A,#N/A
6013,3133,#N/A,#N/A
6019,1140,#N/A,#N/A
6022,#N/A,#N/A,#N/A
6026,3381,730,#N/A
6027,#N/A,#N/A,#N/A
6033,#N/A,2792,#N/A
6046,1784,#N/A,#N/A
6047,2749,#N/A,#N/A
6051,1015,1560,#N/A
6054,#N/A,#N/A,#N/A
6064,1064,2081,#N/A
6071,2833,#N/A,813
6074,#N/A,#N/A,#N/A
6080,1942,2492,#N/A
6084,933,#N/A,#N/A
6088,2100,2631,#N/A
6091,2601,1807,#N/A
6096,#N/A,1463,#N/A
6101,#N/A,#N/A,#N/A
6113,#N/A,#N/A,#N/A
6115,#N/A,#N/A,#N/A
6133,#N/A,1732,653
6134,#N/A,#N/A,#N/A
6144,#N/A,769,#N/A
6160,#N/A,#N/A,#N/A
6162,#N/A,#N/A,#N/A
6165,1086,1043,#N/A
6166,#N/A,#N/A,#N/A
6175,3087,#N/A,968
6182,2859,#N/A,879
6190,2519,#N/A,#N/A
6194,869,2869,1356
6203,#N/A,#N/A,#N/A
6205,2040,#N/A,#N/A
6218,293,663,#N/A
6222,#N/A,#N/A,#N/A
6223,#N/A,#N/A,#N/A
6231,1298,#N/A,#N/A
6232,4280,#N/A,#N/A
6233,407,3249,#N/A
6238,#N/A,#N/A,#N/A
6239,#N/A,1669,#N/A
6246,#N/A,#N/A,#N/A
6247,3690,#N/A,1417
6255,#N/A,#N/A,#N/A
6256,4242,#N/A,#N/A
6259,252,3395,1337
6263,#N/A,#N/A,#N/A
6266,#N/A,2251,1478
6272,4007,#N/A,#N/A
6276,#N/A,#N/A,1441
6284,#N/A,#N/A,#N/A
6287,#N/A,#N/A,#N/A
6289,#N/A,2087,908
6296,2840,#N/A,#N/A
6298,#N/A,3305,#N/A
6306,2323,372,636
6313,#N/A,#N/A,#N/A
6314,3106,#N/A,#N/A
6315,#N/A,#N/A,#N/A
6317,4607,#N/A,#N/A
6320,#N/A,#N/A,#N/A
6324,4294,#N/A,#N/A
6327,3365,#N/A,#N/A
6337,#N/A,#N/A,#N/A
6354,2722,#N/A,#N/A
6372,#N/A,#N/A,628
6375,#N/A,3348,#N/A
6382,2244,#N/A,#N/A
6383,627,3501,#N/A
6396,#N/A,#N/A,#N/A
6400,#N/A,#N/A,#N/A
6407,#N/A,#N/A,#N/A
6416,3431,3156,#N/A
6418,#N/A,#N/A,#N/A
6419,3247,#N/A,1472
6427,307,#N/A,#N/A
6438,206,#N/A,#N/A
6450,531,2335,1211
6466,#N/A,#N/A,#N/A
6471,#N/A,#N/A,#N/A
6472,2066,#N/A,#N/A
6478,#N/A,#N/A,#N/A
6496,#N/A,#N/A,#N/A
6505,2571,842,396
6514,1186,#N/A,#N/A
6517,4596,#N/A,#N/A
6529,#N/A,#N/A,295
6530,3058,#N/A,#N/A
6536,1542,3440,#N/A
6538,#N/A,#N/A,#N/A
6544,#N/A,#N/A,#N/A
6550,1913,#N/A,#N/A
6551,#N/A,#N/A,#N/A
6552,#N/A,#N/A,#N/A
6553,#N/A,#N/A,#N/A
6554,4518,#N/A,#N/A
6564,#N/A,2307,#N/A
6568,#N/A,#N/A,#N/A
6572,4659,#N/A,#N/A
6581,207,1619,1477
6588,#N/A,1808,#N/A
6603,#N/A,#N/A,#N/A
6605,#N/A,#N/A,#N/A
6611,#N/A,#N/A,#N/A
6619,#N/A,#N/A,#N/A
6623,3173,#N/A,#N/A
6629,#N/A,2845,#N/A
6632,#N/A,#N/A,#N/A
6635,#N/A,#N/A,#N/A
6641,474,1286,1228
6643,#N/A,#N/A,#N/A
6653,141,177,11
6662,#N/A,#N/A,#N/A
6671,4341,#N/A,#N/A
6673,#N/A,#N/A,#N/A
6681,3433,356,#N/A
6682,#N/A,#N/A,#N/A
6687,3917,#N/A,#N/A
6688,2481,#N/A,#N/A
6695,#N/A,#N/A,#N/A
6699,3154,111,100
6707,2532,#N/A,#N/A
6711,#N/A,#N/A,#N/A
6718,1586,2120,1007
6720,#N/A,#N/A,#N/A
6732,1279,3230,#N/A
6733,1945,278,#N/A
6736,#N/A,#N/A,775
6749,#N/A,#N/A,#N/A
6752,#N/A,#N/A,#N/A
6757,#N/A,#N/A,#N/A
6762,#N/A,#N/A,#N/A
6766,#N/A,#N/A,#N/A
6779,#N/A,#N/A,#N/A
6781,#N/A,#N/A,#N/A
6784,#N/A,#N/A,#N/A
6787,1184,#N/A,#N/A
6788,3309,#N/A,#N/A
6792,1762,2214,#N/A
6801,#N/A,2525,#N/A
6803,#N/A,#N/A,#N/A
6816,#N/A,#N/A,#N/A
6818,1666,#N/A,#N/A
6820,1970,2406,422
6830,1374,#N/A,#N/A
6833,#N/A,#N/A,#N/A
6860,#N/A,#N/A,#N/A
6870,#N/A,#N/A,#N/A
6874,#N/A,#N/A,#N/A
6876,432,#N/A,#N/A
6878,999,#N/A,#N/A
6889,#N/A,#N/A,#N/A
6890,#N/A,#N/A,#N/A
6891,925,2103,#N/A
6897,2520,#N/A,#N/A
6903,#N/A,#N/A,#N/A
6905,#N/A,3198,#N/A
6906,#N/A,301,340
6916,#N/A,#N/A,#N/A
6927,#N/A,#N/A,#N/A
6929,973,#N/A,#N/A
6937,#N/A,#N/A,#N/A
6939,2867,649,#N/A
6943,#N/A,#N/A,#N/A
6948,#N/A,#N/A,#N/A
6958,4462,#N/A,#N/A
6961,3225,#N/A,#N/A
6962,998,398,1105
6964,#N/A,#N/A,#N/A
6969,#N/A,3159,#N/A
6986,#N/A,#N/A,#N/A
6989,#N/A,858,#N/A
6990,#N/A,2634,1410
6993,#N/A,#N/A,#N/A
6996,#N/A,#N/A,#N/A
6998,3778,#N/A,#N/A
7006,#N/A,#N/A,#N/A
7011,#N/A,#N/A,#N/A
7013,2344,#N/A,#N/A
7023,41,474,874
7025,#N/A,#N/A,#N/A
7050,#N/A,#N/A,#N/A
7071,547,1444,280
7075,#N/A,162,1584
7090,3791,22,414
7093,#N/A,#N/A,#N/A
7094,256,1042,#N/A
7097,3254,#N/A,#N/A
7101,1000,#N/A,#N/A
7109,2325,2994,895
7110,#N/A,#N/A,#N/A
7111,#N/A,#N/A,#N/A
7112,3597,#N/A,#N/A
7115,#N/A,#N/A,#N/A
7122,#N/A,#N/A,#N/A
7128,139,852,#N/A
7141,#N/A,#N/A,#N/A
7145,3245,#N/A,906
7149,#N/A,#N/A,#N/A
7152,2417,#N/A,#N/A
7166,655,2102,173
7182,3730,1906,1022
7185,#N/A,#N/A,#N/A
7191,#N/A,1001,#N/A
7202,1919,1454,1416
7212,#N/A,#N/A,#N/A
7215,#N/A,#N/A,#N/A
7229,#N/A,#N/A,#N/A
7233,#N/A,#N/A,#N/A
7235,3481,523,#N/A
7238,2830,3237,201
7262,4647,#N/A,#N/A
7269,#N/A,#N/A,#N/A
7274,#N/A,1500,#N/A
7290,191,1909,#N/A
7291,#N/A,1644,#N/A
7296,577,703,175
7319,1159,1596,#N/A
7347,#N/A,#N/A,#N/A
7349,#N/A,2950,#N/A
7353,#N/A,#N/A,#N/A
7358,4680,#N/A,#N/A
7361,#N/A,#N/A,#N/A
7362,2681,2638,#N/A
7367,2324,#N/A,#N/A
7368,776,3408,#N/A
7371,3471,1546,#N/A
7380,#N/A,#N/A,#N/A
7381,#N/A,2856,33
7385,#N/A,#N/A,#N/A
7388,#N/A,#N/A,#N/A
7392,#N/A,#N/A,#N/A
7409,#N/A,2493,#N/A
7411,1510,1097,#N/A
7413,4439,3461,#N/A
7416,2512,#N/A,#N/A
7428,#N/A,#N/A,#N/A
7433,1854,1954,#N/A
7437,213,888,762
7438,#N/A,#N/A,#N/A
7439,#N/A,#N/A,#N/A
7440,#N/A,#N/A,#N/A
7445,#N/A,#N/A,#N/A
7461,444,#N/A,#N/A
7466,3782,2990,#N/A
7470,#N/A,470,1429
7476,3643,2026,#N/A
7481,1985,#N/A,171
7486,1849,664,956
7501,3823,#N/A,#N/A
7509,#N/A,2110,1286
7511,3298,1688,#N/A
7519,#N/A,#N/A,#N/A
7522,3181,1704,#N/A
7523,#N/A,#N/A,#N/A
7524,2427,1561,#N/A
7531,#N/A,#N/A,1448
7533,#N/A,1252,#N/A
7534,#N/A,#N/A,#N/A
7538,#N/A,#N/A,#N/A
7542,68,51,59
7544,#N/A,#N/A,#N/A
7546,#N/A,#N/A,#N/A
7548,2773,#N/A,#N/A
7553,#N/A,#N/A,#N/A
7557,#N/A,642,#N/A
7560,3600,2159,1476
7570,#N/A,#N/A,#N/A
7572,4640,735,149
7575,#N/A,2452,1530
7576,1492,3092,#N/A
7578,#N/A,#N/A,#N/A
7579,4363,#N/A,#N/A
7586,380,1238,75
7588,4681,1287,#N/A
7596,#N/A,#N/A,#N/A
7605,245,999,#N/A
7607,#N/A,#N/A,#N/A
7609,1385,1834,#N/A
7614,2027,2138,1424
7624,402,#N/A,#N/A
7626,#N/A,#N/A,#N/A
7631,214,1071,#N/A
7633,2962,#N/A,#N/A
7638,3529,#N/A,#N/A
7643,40,564,#N/A
7657,1769,#N/A,#N/A
7662,#N/A,#N/A,#N/A
7667,1272,1244,#N/A
7672,3564,#N/A,#N/A
7676,#N/A,1324,#N/A
7682,1483,#N/A,#N/A
7685,#N/A,#N/A,#N/A
7688,#N/A,#N/A,#N/A
7690,2637,#N/A,#N/A
7698,3305,#N/A,#N/A
7707,1503,406,#N/A
7715,#N/A,#N/A,#N/A
7716,1157,2098,625
7717,#N/A,#N/A,#N/A
7732,955,2278,#N/A
7733,#N/A,#N/A,#N/A
7736,#N/A,#N/A,#N/A
7753,1988,2350,#N/A
7768,3088,#N/A,#N/A
7773,1841,1514,#N/A
7775,#N/A,#N/A,#N/A
7779,#N/A,2043,#N/A
7781,#N/A,#N/A,#N/A
7790,#N/A,3149,#N/A
7791,3378,2660,#N/A
7796,3462,3101,1571
7820,#N/A,#N/A,#N/A
7830,#N/A,#N/A,#N/A
7835,1260,#N/A,#N/A
7848,3641,#N/A,#N/A
7856,3715,#N/A,#N/A
7857,#N/A,#N/A,#N/A
7858,3963,1049,672
7865,#N/A,#N/A,#N/A
7872,1569,103,#N/A
7874,#N/A,#N/A,#N/A
7878,2449,#N/A,#N/A
7893,#N/A,#N/A,#N/A
7895,#N/A,#N/A,#N/A
7896,1193,#N/A,1414
7901,#N/A,#N/A,#N/A
7916,#N/A,#N/A,#N/A
7924,#N/A,3118,1570
7934,#N/A,1632,#N/A
7939,#N/A,2683,#N/A
7949,3277,#N/A,#N/A
7950,#N/A,#N/A,#N/A
7954,#N/A,#N/A,#N/A
7962,#N/A,#N/A,1373
7966,#N/A,#N/A,#N/A
7973,1655,20,127
7975,#N/A,#N/A,#N/A
7981,2391,85,#N/A
7994,3783,2738,#N/A
8000,#N/A,2450,#N/A
8007,#N/A,#N/A,#N/A
8009,#N/A,1798,#N/A
8015,#N/A,#N/A,#N/A
8016,#N/A,182,#N/A
8027,29,589,116
8028,1268,#N/A,#N/A
8032,4382,#N/A,#N/A
8034,4515,2236,#N/A
8036,#N/A,2137,#N/A
8038,#N/A,#N/A,#N/A
8041,1395,3084,#N/A
8051,2918,3504,#N/A
8062,#N/A,3352,1152
8064,4660,#N/A,#N/A
8070,#N/A,#N/A,594
8073,#N/A,#N/A,#N/A
8074,3091,#N/A,#N/A
8076,#N/A,#N/A,1538
8080,4066,1589,#N/A
8098,1944,911,1207
8099,4420,#N/A,#N/A
8107,#N/A,#N/A,#N/A
8109,2736,#N/A,#N/A
8118,3790,1855,128
8125,150,1449,#N/A
8138,#N/A,#N/A,#N/A
8144,4263,#N/A,#N/A
8154,#N/A,#N/A,#N/A
8156,#N/A,#N/A,#N/A
8170,2107,1845,#N/A
8178,1270,790,41
8181,#N/A,#N/A,#N/A
8182,#N/A,567,843
8190,2822,#N/A,#N/A
8197,#N/A,#N/A,#N/A
8210,2844,2624,#N/A
8217,2761,519,#N/A
8219,1949,#N/A,#N/A
8225,800,562,345
8226,161,462,#N/A
8230,3943,#N/A,#N/A
8244,#N/A,#N/A,#N/A
8264,#N/A,#N/A,#N/A
8266,71,146,102
8269,#N/A,3018,#N/A
8275,#N/A,2435,1327
8278,#N/A,#N/A,#N/A
8282,3221,#N/A,#N/A
8290,4056,#N/A,#N/A
8296,2165,#N/A,#N/A
8298,3450,2077,#N/A
8301,2144,#N/A,#N/A
8315,1152,#N/A,853
8317,791,#N/A,#N/A
8318,388,388,#N/A
8319,#N/A,#N/A,#N/A
8322,3552,#N/A,#N/A
8328,#N/A,#N/A,#N/A
8329,21,33,108
8330,#N/A,#N/A,#N/A
8338,3496,3391,#N/A
8340,4685,#N/A,#N/A
8346,4534,#N/A,#N/A
8347,1235,#N/A,#N/A
8355,#N/A,#N/A,#N/A
8362,3716,#N/A,#N/A
8376,2621,#N/A,#N/A
8380,#N/A,#N/A,#N/A
8384,#N/A,#N/A,#N/A
8391,850,2831,#N/A
8396,219,#N/A,#N/A
8398,4530,3471,#N/A
8403,1621,726,1157
8408,#N/A,899,441
8413,2965,#N/A,#N/A
8420,3109,2740,#N/A
8439,#N/A,#N/A,488
8453,#N/A,#N/A,#N/A
8455,#N/A,#N/A,#N/A
8458,#N/A,#N/A,#N/A
8465,384,#N/A,#N/A
8467,#N/A,#N/A,#N/A
8471,1475,744,#N/A
8477,3985,#N/A,#N/A
8478,1466,410,980
8480,#N/A,3355,#N/A
8481,500,#N/A,#N/A
8485,#N/A,#N/A,#N/A
8486,1986,#N/A,#N/A
8488,#N/A,#N/A,#N/A
8489,4465,2780,1303
8498,#N/A,1851,778
8501,#N/A,#N/A,#N/A
8505,3708,221,#N/A
8507,2290,1912,#N/A
8512,4381,#N/A,#N/A
8513,295,37,923
8516,1507,1421,#N/A
8524,#N/A,3195,#N/A
8532,346,1163,1108
8533,#N/A,#N/A,#N/A
8541,874,1562,#N/A
8543,#N/A,2988,#N/A
8544,#N/A,#N/A,#N/A
8546,#N/A,#N/A,#N/A
8555,#N/A,667,#N/A
8556,1357,#N/A,#N/A
8559,4714,#N/A,608
8564,#N/A,#N/A,#N/A
8570,903,#N/A,#N/A
8573,#N/A,#N/A,#N/A
8577,#N/A,#N/A,#N/A
8580,3445,924,#N/A
8590,#N/A,#N/A,#N/A
8599,3509,537,750
8600,2777,239,#N/A
8602,#N/A,1347,#N/A
8612,#N/A,#N/A,#N/A
8615,#N/A,#N/A,#N/A
8620,#N/A,#N/A,#N/A
8624,1163,1222,1437
8632,#N/A,#N/A,#N/A
8659,4487,#N/A,#N/A
8664,2466,#N/A,786
8679,#N/A,#N/A,#N/A
8680,769,#N/A,#N/A
8689,#N/A,#N/A,#N/A
8691,1931,#N/A,#N/A
8692,#N/A,#N/A,#N/A
8694,#N/A,#N/A,#N/A
8696,#N/A,#N/A,#N/A
8699,1938,776,#N/A
8700,2535,1925,#N/A
8701,4035,#N/A,#N/A
8702,#N/A,#N/A,#N/A
8704,#N/A,#N/A,#N/A
8706,#N/A,#N/A,#N/A
8727,#N/A,#N/A,#N/A
8738,2139,283,233
8744,4215,#N/A,#N/A
8745,1528,1926,#N/A
8749,2969,3130,#N/A
8751,1066,#N/A,#N/A
8755,#N/A,#N/A,#N/A
8758,#N/A,3328,#N/A
8762,466,48,1254
8767,#N/A,#N/A,#N/A
8772,923,#N/A,1073
8775,#N/A,#N/A,#N/A
8787,2687,#N/A,#N/A
8791,#N/A,#N/A,#N/A
8798,#N/A,2192,1061
8799,2080,980,#N/A
8804,#N/A,#N/A,#N/A
8809,1705,3353,#N/A
8812,4613,#N/A,#N/A
8814,#N/A,#N/A,#N/A
8823,3640,#N/A,#N/A
8824,#N/A,2529,#N/A
8826,#N/A,#N/A,#N/A
8828,1290,#N/A,#N/A
8838,1131,#N/A,#N/A
8841,301,387,#N/A
8842,1009,#N/A,#N/A
8849,#N/A,#N/A,#N/A
8851,4259,2734,#N/A
8854,2207,486,#N/A
8874,#N/A,#N/A,#N/A
8875,#N/A,#N/A,#N/A
8890,1928,831,#N/A
8892,#N/A,#N/A,#N/A
8894,#N/A,#N/A,#N/A
8895,1665,#N/A,#N/A
8896,4266,2047,#N/A
8901,#N/A,1875,#N/A
8913,1865,362,1047
8921,3514,#N/A,#N/A
8926,1027,#N/A,#N/A
8929,#N/A,1510,#N/A
8937,#N/A,2221,323
8944,3731,#N/A,#N/A
8949,#N/A,#N/A,#N/A
8955,#N/A,#N/A,#N/A
8957,#N/A,2169,#N/A
8967,2902,#N/A,#N/A
8973,#N/A,#N/A,#N/A
8976,3110,#N/A,#N/A
8978,2925,#N/A,#N/A
8992,1050,#N/A,#N/A
9007,181,779,#N/A
9010,2489,1471,533
9017,#N/A,#N/A,#N/A
9023,#N/A,1706,1149
9024,1316,#N/A,#N/A
9026,3486,2552,1544
9028,2125,#N/A,#N/A
9034,#N/A,#N/A,#N/A
9041,#N/A,2407,#N/A
9042,#N/A,#N/A,#N/A
9046,#N/A,2439,#N/A
9053,42,728,18
9061,374,#N/A,#N/A
9062,873,363,#N/A
9065,#N/A,#N/A,875
9075,#N/A,#N/A,#N/A
9076,#N/A,#N/A,#N/A
9082,#N/A,#N/A,#N/A
9093,1755,#N/A,#N/A
9099,2644,1331,#N/A
9111,2145,#N/A,#N/A
9115,4494,#N/A,#N/A
9125,#N/A,#N/A,#N/A
9131,2368,#N/A,494
9138,#N/A,#N/A,#N/A
9147,#N/A,#N/A,#N/A
9150,#N/A,#N/A,#N/A
9152,#N/A,#N/A,#N/A
9162,322,578,#N/A
9163,503,2579,#N/A
9171,#N/A,#N/A,#N/A
9176,1019,#N/A,#N/A
9182,#N/A,#N/A,#N/A
9191,1754,#N/A,#N/A
9203,2861,#N/A,#N/A
9204,3694,#N/A,#N/A
9205,1299,409,#N/A
9212,#N/A,#N/A,#N/A
9220,1884,#N/A,#N/A
9221,3359,#N/A,#N/A
9223,4040,#N/A,#N/A
9225,#N/A,#N/A,#N/A
9235,#N/A,#N/A,#N/A
9240,#N/A,#N/A,#N/A
9242,#N/A,612,209
9249,#N/A,#N/A,#N/A
9250,#N/A,#N/A,#N/A
9251,#N/A,#N/A,#N/A
9260,#N/A,#N/A,#N/A
9262,#N/A,#N/A,#N/A
9264,#N/A,1035,527
9277,2952,#N/A,#N/A
9278,#N/A,2027,390
9292,317,#N/A,142
9293,4057,#N/A,547
9299,#N/A,#N/A,#N/A
9301,#N/A,#N/A,#N/A
9319,#N/A,#N/A,#N/A
9328,965,#N/A,1128
9341,#N/A,#N/A,#N/A
9357,2700,3351,#N/A
9364,#N/A,#N/A,#N/A
9372,845,#N/A,#N/A
9378,#N/A,365,1266
9379,#N/A,#N/A,#N/A
9380,#N/A,#N/A,#N/A
9383,#N/A,2670,404
9384,4669,#N/A,1127
9388,268,389,#N/A
9390,#N/A,2197,#N/A
9396,1016,168,154
9400,#N/A,#N/A,#N/A
9401,#N/A,#N/A,1360
9402,2326,2932,#N/A
9403,2670,2844,#N/A
9405,#N/A,#N/A,#N/A
9421,#N/A,#N/A,#N/A
9432,#N/A,#N/A,#N/A
9434,#N/A,#N/A,#N/A
9437,#N/A,1249,700
9460,1334,#N/A,#N/A
9461,#N/A,#N/A,#N/A
9463,2630,#N/A,#N/A
9471,#N/A,#N/A,#N/A
9473,2888,#N/A,#N/A
9475,#N/A,#N/A,#N/A
9486,#N/A,#N/A,#N/A
9492,233,789,#N/A
9498,#N/A,#N/A,#N/A
9499,#N/A,#N/A,#N/A
9507,831,#N/A,#N/A
9515,#N/A,#N/A,#N/A
9517,1513,2745,544
9524,#N/A,2285,#N/A
9531,#N/A,257,222
9535,3204,616,#N/A
9538,4028,#N/A,#N/A
9542,#N/A,2209,297
9546,#N/A,#N/A,#N/A
9548,1500,#N/A,#N/A
9553,4687,2377,971
9563,#N/A,#N/A,#N/A
9572,#N/A,#N/A,#N/A
9577,#N/A,#N/A,#N/A
9580,#N/A,#N/A,#N/A
9592,1425,#N/A,655
9594,#N/A,#N/A,#N/A
9597,#N/A,1711,#N/A
9605,#N/A,#N/A,#N/A
9609,#N/A,#N/A,#N/A
9610,4452,2960,#N/A
9621,1347,872,#N/A
