Identifier,N_kw = 10
1.0,#N/A
4.0,#N/A
10.0,1890
11.0,#N/A
26.0,2983
31.0,1141
41.0,#N/A
47.0,#N/A
50.0,2220
60.0,2640
76.0,1048
81.0,#N/A
84.0,#N/A
85.0,#N/A
86.0,1275
87.0,956
88.0,1256
90.0,2891
100.0,#N/A
107.0,#N/A
111.0,#N/A
114.0,3011
115.0,#N/A
123.0,746
124.0,#N/A
130.0,#N/A
140.0,1177
142.0,1705
169.0,342
177.0,3282
180.0,#N/A
183.0,#N/A
185.0,#N/A
187.0,#N/A
193.0,#N/A
197.0,#N/A
201.0,#N/A
204.0,3071
212.0,#N/A
217.0,2977
240.0,349
245.0,#N/A
252.0,#N/A
253.0,#N/A
263.0,#N/A
270.0,#N/A
278.0,#N/A
285.0,341
286.0,#N/A
288.0,259
294.0,#N/A
297.0,1564
300.0,#N/A
301.0,3498
302.0,#N/A
303.0,#N/A
309.0,#N/A
313.0,#N/A
315.0,#N/A
325.0,31
328.0,#N/A
333.0,#N/A
342.0,2834
343.0,453
345.0,2623
350.0,#N/A
351.0,1803
352.0,3385
356.0,#N/A
358.0,#N/A
368.0,#N/A
371.0,#N/A
373.0,#N/A
376.0,1034
380.0,1796
382.0,#N/A
391.0,2796
403.0,#N/A
406.0,2232
416.0,#N/A
417.0,#N/A
419.0,#N/A
426.0,#N/A
430.0,1718
433.0,2589
440.0,2234
441.0,#N/A
468.0,1110
471.0,#N/A
483.0,#N/A
485.0,#N/A
487.0,#N/A
493.0,#N/A
494.0,#N/A
501.0,2301
508.0,#N/A
513.0,#N/A
521.0,#N/A
547.0,1946
569.0,#N/A
579.0,#N/A
585.0,#N/A
593.0,#N/A
596.0,542
601.0,#N/A
604.0,#N/A
606.0,3456
615.0,#N/A
627.0,685
635.0,#N/A
643.0,#N/A
652.0,#N/A
655.0,2865
656.0,301
661.0,258
662.0,#N/A
665.0,#N/A
666.0,910
668.0,2226
674.0,#N/A
686.0,#N/A
694.0,#N/A
700.0,2790
701.0,1411
705.0,524
708.0,#N/A
711.0,#N/A
714.0,1886
715.0,#N/A
730.0,470
733.0,#N/A
739.0,#N/A
743.0,#N/A
746.0,2624
750.0,1563
755.0,#N/A
762.0,572
763.0,91
769.0,3460
776.0,#N/A
778.0,#N/A
779.0,#N/A
782.0,487
787.0,2510
790.0,#N/A
796.0,#N/A
797.0,3285
798.0,#N/A
799.0,#N/A
800.0,#N/A
807.0,#N/A
817.0,#N/A
834.0,2602
835.0,1680
838.0,#N/A
839.0,#N/A
845.0,#N/A
848.0,#N/A
851.0,#N/A
861.0,#N/A
874.0,1697
876.0,1165
879.0,#N/A
891.0,#N/A
903.0,#N/A
914.0,#N/A
919.0,2368
921.0,#N/A
925.0,2222
931.0,#N/A
940.0,#N/A
950.0,#N/A
952.0,1866
964.0,3404
968.0,#N/A
972.0,2719
973.0,#N/A
974.0,428
981.0,#N/A
997.0,2917
1012.0,#N/A
1018.0,2413
1024.0,#N/A
1027.0,#N/A
1029.0,#N/A
1030.0,#N/A
1039.0,#N/A
1041.0,#N/A
1043.0,#N/A
1045.0,2696
1048.0,#N/A
1054.0,#N/A
1063.0,#N/A
1076.0,#N/A
1082.0,#N/A
1088.0,#N/A
1103.0,3234
1105.0,170
1106.0,#N/A
1108.0,#N/A
1111.0,#N/A
1112.0,#N/A
1117.0,#N/A
1120.0,1599
1121.0,#N/A
1127.0,2251
1131.0,#N/A
1137.0,#N/A
1139.0,#N/A
1140.0,1226
1149.0,#N/A
1151.0,#N/A
1159.0,87
1160.0,2649
1165.0,633
1167.0,1501
1168.0,#N/A
1179.0,#N/A
1184.0,#N/A
1185.0,1861
1186.0,2418
1190.0,160
1194.0,#N/A
1195.0,#N/A
1198.0,#N/A
1203.0,#N/A
1210.0,#N/A
1219.0,325
1231.0,#N/A
1233.0,#N/A
1241.0,#N/A
1242.0,#N/A
1245.0,#N/A
1246.0,#N/A
1248.0,#N/A
1254.0,#N/A
1256.0,#N/A
1261.0,#N/A
1270.0,#N/A
1273.0,#N/A
1276.0,#N/A
1280.0,#N/A
1287.0,#N/A
1288.0,#N/A
1290.0,2040
1295.0,998
1298.0,#N/A
1312.0,2043
1314.0,862
1320.0,3486
1327.0,#N/A
1331.0,#N/A
1333.0,#N/A
1337.0,#N/A
1343.0,#N/A
1351.0,#N/A
1358.0,#N/A
1362.0,1817
1368.0,1642
1382.0,#N/A
1389.0,#N/A
1393.0,#N/A
1397.0,#N/A
1416.0,#N/A
1435.0,#N/A
1442.0,#N/A
1457.0,#N/A
1462.0,#N/A
1464.0,#N/A
1466.0,#N/A
1477.0,#N/A
1481.0,#N/A
1488.0,#N/A
1492.0,#N/A
1494.0,#N/A
1495.0,2366
1500.0,250
1502.0,3200
1504.0,#N/A
1506.0,1117
1509.0,2237
1510.0,1391
1512.0,#N/A
1513.0,#N/A
1526.0,#N/A
1534.0,#N/A
1537.0,#N/A
1548.0,1204
1553.0,837
1555.0,2042
1565.0,#N/A
1572.0,#N/A
1577.0,2024
1595.0,#N/A
1613.0,#N/A
1614.0,#N/A
1618.0,703
1621.0,#N/A
1623.0,#N/A
1624.0,#N/A
1627.0,#N/A
1631.0,2978
1634.0,#N/A
1636.0,#N/A
1638.0,#N/A
1645.0,#N/A
1662.0,3114
1665.0,#N/A
1681.0,#N/A
1683.0,#N/A
1688.0,#N/A
1695.0,#N/A
