Identifier,N_kw = 15
1.0,#N/A
4.0,#N/A
10.0,#N/A
11.0,#N/A
26.0,#N/A
31.0,490
41.0,#N/A
47.0,#N/A
50.0,548
60.0,#N/A
76.0,1041
81.0,#N/A
84.0,#N/A
85.0,1026
86.0,843
87.0,305
88.0,#N/A
90.0,#N/A
100.0,#N/A
107.0,#N/A
111.0,#N/A
114.0,1030
115.0,#N/A
123.0,#N/A
124.0,#N/A
130.0,#N/A
140.0,596
142.0,479
169.0,326
177.0,#N/A
180.0,#N/A
183.0,#N/A
185.0,#N/A
187.0,#N/A
193.0,#N/A
197.0,1483
201.0,#N/A
204.0,#N/A
212.0,#N/A
217.0,#N/A
240.0,889
245.0,1282
252.0,#N/A
253.0,#N/A
263.0,#N/A
270.0,#N/A
278.0,#N/A
285.0,1028
286.0,#N/A
288.0,#N/A
294.0,#N/A
297.0,#N/A
300.0,#N/A
301.0,765
302.0,#N/A
303.0,1330
309.0,#N/A
313.0,#N/A
315.0,#N/A
325.0,301
328.0,#N/A
333.0,#N/A
342.0,#N/A
343.0,193
345.0,1332
350.0,#N/A
351.0,272
352.0,#N/A
356.0,#N/A
358.0,#N/A
368.0,#N/A
371.0,#N/A
373.0,#N/A
376.0,#N/A
380.0,#N/A
382.0,#N/A
391.0,#N/A
403.0,#N/A
406.0,839
416.0,#N/A
417.0,#N/A
419.0,#N/A
426.0,#N/A
430.0,#N/A
433.0,#N/A
440.0,#N/A
441.0,#N/A
468.0,#N/A
471.0,533
483.0,#N/A
485.0,#N/A
487.0,#N/A
493.0,#N/A
494.0,#N/A
501.0,#N/A
508.0,#N/A
513.0,#N/A
521.0,#N/A
547.0,#N/A
569.0,#N/A
579.0,#N/A
585.0,#N/A
593.0,767
596.0,1397
601.0,#N/A
604.0,#N/A
606.0,#N/A
615.0,#N/A
627.0,670
635.0,#N/A
643.0,#N/A
652.0,#N/A
655.0,#N/A
656.0,106
661.0,391
662.0,#N/A
665.0,#N/A
666.0,#N/A
668.0,#N/A
674.0,#N/A
686.0,1025
694.0,#N/A
700.0,#N/A
701.0,#N/A
705.0,#N/A
708.0,#N/A
711.0,#N/A
714.0,#N/A
715.0,#N/A
730.0,1402
733.0,983
739.0,#N/A
743.0,#N/A
746.0,#N/A
750.0,#N/A
755.0,#N/A
762.0,#N/A
763.0,#N/A
769.0,#N/A
776.0,#N/A
778.0,#N/A
779.0,#N/A
782.0,1033
787.0,1512
790.0,#N/A
796.0,#N/A
797.0,#N/A
798.0,#N/A
799.0,#N/A
800.0,#N/A
807.0,#N/A
817.0,#N/A
834.0,#N/A
835.0,1267
838.0,1527
839.0,#N/A
845.0,#N/A
848.0,#N/A
851.0,#N/A
861.0,#N/A
874.0,1324
876.0,#N/A
879.0,#N/A
891.0,#N/A
903.0,#N/A
914.0,#N/A
919.0,#N/A
921.0,#N/A
925.0,#N/A
931.0,#N/A
940.0,#N/A
950.0,#N/A
952.0,#N/A
964.0,1182
968.0,#N/A
972.0,#N/A
973.0,448
974.0,1294
981.0,#N/A
997.0,#N/A
1012.0,#N/A
1018.0,#N/A
1024.0,#N/A
1027.0,#N/A
1029.0,#N/A
1030.0,#N/A
1039.0,#N/A
1041.0,#N/A
1043.0,#N/A
1045.0,#N/A
1048.0,#N/A
1054.0,#N/A
1063.0,#N/A
1076.0,#N/A
1082.0,#N/A
1088.0,#N/A
1103.0,#N/A
1105.0,#N/A
1106.0,#N/A
1108.0,#N/A
1111.0,1138
1112.0,#N/A
1117.0,#N/A
1120.0,#N/A
1121.0,#N/A
1127.0,727
1131.0,#N/A
1137.0,#N/A
1139.0,#N/A
1140.0,501
1149.0,#N/A
1151.0,#N/A
1159.0,#N/A
1160.0,#N/A
1165.0,866
1167.0,#N/A
1168.0,1165
1179.0,#N/A
1184.0,#N/A
1185.0,924
1186.0,#N/A
1190.0,101
1194.0,#N/A
1195.0,#N/A
1198.0,#N/A
1203.0,#N/A
1210.0,#N/A
1219.0,#N/A
1231.0,1279
1233.0,#N/A
1241.0,#N/A
1242.0,#N/A
1245.0,#N/A
1246.0,#N/A
1248.0,#N/A
1254.0,#N/A
1256.0,#N/A
1261.0,1135
1270.0,#N/A
1273.0,1120
1276.0,#N/A
1280.0,#N/A
1287.0,#N/A
1288.0,#N/A
1290.0,#N/A
1295.0,#N/A
1298.0,#N/A
1312.0,#N/A
1314.0,293
1320.0,#N/A
1327.0,460
1331.0,#N/A
1333.0,#N/A
1337.0,#N/A
1343.0,#N/A
1351.0,#N/A
1358.0,#N/A
1362.0,#N/A
1368.0,#N/A
1382.0,#N/A
1389.0,#N/A
1393.0,#N/A
1397.0,#N/A
1416.0,#N/A
1435.0,#N/A
1442.0,#N/A
1457.0,#N/A
1462.0,#N/A
1464.0,#N/A
1466.0,#N/A
1477.0,#N/A
1481.0,#N/A
1488.0,#N/A
1492.0,#N/A
1494.0,#N/A
1495.0,1457
1500.0,784
1502.0,#N/A
1504.0,#N/A
1506.0,564
1509.0,186
1510.0,636
1512.0,#N/A
1513.0,#N/A
1526.0,#N/A
1534.0,#N/A
1537.0,#N/A
1548.0,1414
1553.0,#N/A
1555.0,313
1565.0,#N/A
1572.0,#N/A
1577.0,#N/A
1595.0,#N/A
1613.0,#N/A
1614.0,#N/A
1618.0,#N/A
1621.0,#N/A
1623.0,#N/A
1624.0,#N/A
1627.0,#N/A
1631.0,#N/A
