Performance metrics for each combination of n_mc and n_kw:
n_mc       n_kw       Precision  Recall    
200        5          0.0116     0.9500    
200        10         0.0092     0.6500    
200        15         0.0123     0.5000    
600        5          0.0051     1.0000    
600        10         0.0060     1.0000    
600        15         0.0080     0.8000    
1000       5          0.0037     1.0000    
1000       10         0.0040     0.9500    
1000       15         0.0063     0.9000    
