doc_id,ranking,BM25 score
1,9327,1.6143676
10,6672,3.6890113
11,8151,2.5709755
26,7207,3.2348912
31,866,9.069816
41,4786,4.8555617
47,1052,8.569812
50,812,9.202209
60,3670,5.5096164
76,2215,6.7022605
84,3904,5.373108
85,7062,3.3682315
86,6995,3.438162
87,1115,8.412686
88,2067,6.893018
90,5804,4.281885
100,5741,4.3133245
107,2703,6.2434735
111,5965,4.195549
114,897,8.985995
115,1972,7.0082216
123,3886,5.3840995
124,5553,4.430944
130,3168,5.8503256
140,8421,2.3681164
142,3359,5.7050467
169,4158,5.2113523
177,4189,5.1956816
180,5013,4.7355905
185,6037,4.1451173
187,4141,5.2211494
193,7148,3.3013904
197,478,10.472621
201,7840,2.7829132
204,96,14.332103
212,2819,6.142848
217,3940,5.3442273
240,3967,5.330166
245,1353,7.9174533
252,3836,5.418946
270,984,8.732959
278,4955,4.7663083
285,2264,6.643485
286,9165,1.8267592
288,2820,6.1421
294,7839,2.7830148
297,1875,7.1352735
301,2303,6.58805
302,8540,2.2887928
303,7568,2.9426115
309,3296,5.7533684
313,990,8.72341
315,6602,3.736906
325,7355,3.0970094
328,1128,8.381771
333,6997,3.4356315
342,7268,3.1799936
343,1786,7.247062
345,145,13.206871
350,8562,2.2786994
351,909,8.954848
352,2002,6.971563
356,4229,5.1689677
358,2868,6.104195
368,7280,3.166625
371,6985,3.4448965
373,6350,3.9169195
376,697,9.601146
380,1359,7.9067116
382,7459,3.0235164
391,1061,8.5557995
406,5365,4.5459085
417,8880,2.0491223
419,2525,6.3780837
430,5653,4.3692713
433,4759,4.871663
440,2253,6.6663175
441,3674,5.50768
468,1755,7.297501
471,72,14.991936
483,2984,5.997193
485,3048,5.9483414
487,6428,3.865187
493,3396,5.6756973
494,5596,4.405562
501,4924,4.780408
508,9450,1.1754273
513,6025,4.151043
521,9362,1.5088555
547,4810,4.841135
569,474,10.498399
579,1879,7.1234674
585,8494,2.3178818
593,65,15.263935
596,3584,5.567456
601,8802,2.1064706
604,4261,5.1575584
606,4958,4.7649894
615,2134,6.8001585
627,851,9.105437
635,7499,2.9864447
643,9469,1.070523
652,7046,3.3779829
655,1868,7.1450777
656,2770,6.1795897
661,1403,7.8169746
662,8699,2.18884
665,9117,1.8682663
666,5477,4.482455
668,7270,3.178702
674,8804,2.1054702
686,1131,8.378447
694,3873,5.396414
700,2880,6.097639
701,5,25.494013
705,7409,3.0646114
708,9183,1.8169372
714,9313,1.6346061
715,8363,2.419264
730,808,9.215573
733,2508,6.399623
743,5131,4.6690855
746,25,17.026667
750,15,18.347878
