doc_id,ranking,BM25 score
1,9327.0,1.6143676
4,,
10,6672.0,3.6890113
11,8151.0,2.5709755
26,7207.0,3.2348912
31,866.0,9.069816
41,4786.0,4.8555617
47,1052.0,8.569812
50,812.0,9.202209
60,3670.0,5.5096164
76,2215.0,6.7022605
81,,
84,3904.0,5.373108
85,7062.0,3.3682315
86,6995.0,3.438162
87,1115.0,8.412686
88,2067.0,6.893018
90,5804.0,4.281885
100,5741.0,4.3133245
107,2703.0,6.2434735
111,5965.0,4.195549
114,897.0,8.985995
115,1972.0,7.0082216
123,3886.0,5.3840995
124,5553.0,4.430944
130,3168.0,5.8503256
140,8421.0,2.3681164
142,3359.0,5.7050467
169,4158.0,5.2113523
177,4189.0,5.1956816
180,5013.0,4.7355905
183,,
185,6037.0,4.1451173
187,4141.0,5.2211494
193,7148.0,3.3013904
197,478.0,10.472621
201,7840.0,2.7829132
204,96.0,14.332103
212,2819.0,6.142848
217,3940.0,5.3442273
240,3967.0,5.330166
245,1353.0,7.9174533
252,3836.0,5.418946
253,,
263,,
270,984.0,8.732959
278,4955.0,4.7663083
285,2264.0,6.643485
286,9165.0,1.8267592
288,2820.0,6.1421
294,7839.0,2.7830148
297,1875.0,7.1352735
300,,
301,2303.0,6.58805
302,8540.0,2.2887928
303,7568.0,2.9426115
309,3296.0,5.7533684
313,990.0,8.72341
315,6602.0,3.736906
325,7355.0,3.0970094
328,1128.0,8.381771
333,6997.0,3.4356315
342,7268.0,3.1799936
343,1786.0,7.247062
345,145.0,13.206871
350,8562.0,2.2786994
351,909.0,8.954848
352,2002.0,6.971563
356,4229.0,5.1689677
358,2868.0,6.104195
368,7280.0,3.166625
371,6985.0,3.4448965
373,6350.0,3.9169195
376,697.0,9.601146
380,1359.0,7.9067116
382,7459.0,3.0235164
391,1061.0,8.5557995
403,,
406,5365.0,4.5459085
416,,
417,8880.0,2.0491223
419,2525.0,6.3780837
426,,
430,5653.0,4.3692713
433,4759.0,4.871663
440,2253.0,6.6663175
441,3674.0,5.50768
468,1755.0,7.297501
471,72.0,14.991936
483,2984.0,5.997193
485,3048.0,5.9483414
487,6428.0,3.865187
493,3396.0,5.6756973
494,5596.0,4.405562
501,4924.0,4.780408
508,9450.0,1.1754273
513,6025.0,4.151043
521,9362.0,1.5088555
547,4810.0,4.841135
569,474.0,10.498399
579,1879.0,7.1234674
585,8494.0,2.3178818
593,65.0,15.263935
596,3584.0,5.567456
601,8802.0,2.1064706
604,4261.0,5.1575584
606,4958.0,4.7649894
615,2134.0,6.8001585
627,851.0,9.105437
635,7499.0,2.9864447
643,9469.0,1.070523
652,7046.0,3.3779829
655,1868.0,7.1450777
656,2770.0,6.1795897
661,1403.0,7.8169746
662,8699.0,2.18884
665,9117.0,1.8682663
666,5477.0,4.482455
668,7270.0,3.178702
674,8804.0,2.1054702
686,1131.0,8.378447
694,3873.0,5.396414
700,2880.0,6.097639
701,5.0,25.494013
705,7409.0,3.0646114
708,9183.0,1.8169372
711,,
714,9313.0,1.6346061
715,8363.0,2.419264
730,808.0,9.215573
733,2508.0,6.399623
739,,
743,5131.0,4.6690855
746,25.0,17.026667
750,15.0,18.347878
755,4572.0,4.9808626
762,3452.0,5.6399345
763,4930.0,4.778736
769,6639.0,3.7086709
776,8960.0,1.9959669
778,,
779,3795.0,5.44173
782,2782.0,6.1726036
787,539.0,10.206119
790,5212.0,4.625757
796,9245.0,1.7412944
797,,
798,3321.0,5.737269
799,,
800,5160.0,4.6557593
807,602.0,9.973922
817,,
834,7107.0,3.338514
835,7863.0,2.7726855
838,8661.0,2.2204647
839,6721.0,3.64742
845,3343.0,5.7175646
848,77.0,14.733917
851,9221.0,1.7768316
861,8928.0,2.0169723
874,7228.0,3.214643
876,7750.0,2.8259346
879,3978.0,5.322712
891,9055.0,1.9126619
903,5633.0,4.3827853
914,4486.0,5.026506
919,330.0,11.327694
921,6307.0,3.9494464
925,5698.0,4.346688
931,8472.0,2.3377142
940,5188.0,4.64375
950,4248.0,5.162168
952,3248.0,5.783771
964,4033.0,5.28891
968,674.0,9.689238
972,9445.0,1.2270039
973,2089.0,6.8601913
974,5878.0,4.2405925
981,2608.0,6.3108683
997,6397.0,3.8866599
1012,2031.0,6.9389806
1018,4251.0,5.1607485
1024,2970.0,6.010853
1027,1671.0,7.40662
1029,6613.0,3.728732
1030,6445.0,3.8520777
1039,8741.0,2.1573586
1041,6048.0,4.1350827
1043,7741.0,2.8301876
1045,8368.0,2.415526
1048,3115.0,5.891907
1054,4079.0,5.258859
1063,9024.0,1.9413124
1076,6819.0,3.572404
1082,8272.0,2.4863558
1088,7826.0,2.7927842
1103,7362.0,3.088894
1105,657.0,9.756641
1106,7624.0,2.906863
1108,,
1111,5141.0,4.6656137
1112,,
1117,1593.0,7.5148063
1120,235.0,11.938775
1121,5143.0,4.664874
1127,371.0,11.064062
1131,4341.0,5.1073556
1137,2991.0,5.994205
1139,9066.0,1.9059396
1140,3130.0,5.8798385
1149,8296.0,2.4707153
