doc_id,ranking,BM25 score
31,305,10.434296
50,277,10.680139
107,763,8.357254
185,568,8.999586
197,98,13.733626
204,39,16.168257
240,789,8.298223
270,638,8.737156
301,938,7.911413
345,236,11.290775
351,815,8.239539
376,464,9.542709
471,104,13.653923
485,262,10.93683
569,189,11.98365
593,20,18.187586
701,7,24.136297
746,41,16.12286
750,316,10.380666
787,734,8.436887
848,63,14.885517
879,153,12.503914
919,473,9.462211
1105,133,12.924448
1120,57,15.23633
1127,82,14.084468
1184,408,9.806961
1219,893,8.038428
1276,644,8.716405
1312,434,9.660983
1457,974,7.8178844
1510,525,9.168683
1555,293,10.569154
1636,187,11.988488
1638,972,7.826372
1665,116,13.359595
1695,531,9.121239
1718,109,13.558797
1764,21,18.093996
1802,250,10.998693
1832,340,10.197326
1833,917,7.964102
1884,918,7.963813
1894,99,13.720297
1933,836,8.196277
1957,322,10.354823
2021,190,11.981147
2102,68,14.639189
2104,55,15.406669
2167,898,8.017951
2169,66,14.6538725
2272,80,14.229789
2359,3,29.183979
2404,86,14.014883
2464,435,9.658333
2578,954,7.8791003
2593,666,8.642616
2640,716,8.487988
2754,660,8.665562
2830,684,8.580034
2870,745,8.4076185
3012,495,9.329417
3020,375,9.976105
3086,264,10.886275
3156,175,12.179322
3206,455,9.579457
3340,167,12.288495
3367,396,9.885918
3429,161,12.376437
3444,343,10.165219
3608,700,8.536637
3629,267,10.836918
3662,629,8.770703
3733,25,17.28081
3762,92,13.917524
3793,672,8.620383
3808,182,12.07222
3817,238,11.216614
3981,17,18.414352
4042,648,8.697496
4161,916,7.967932
4193,307,10.430171
4212,966,7.857389
4247,912,7.9725537
4266,569,8.996625
4335,874,8.084825
4436,77,14.277386
4469,848,8.166257
4603,295,10.553396
4661,870,8.099272
4738,179,12.144063
4759,339,10.200827
4821,946,7.8923407
4831,483,9.40984
4869,908,7.980826
4870,516,9.228091
4918,38,16.241024
4991,998,7.7676425
4996,40,16.163317
4999,737,8.4266
5074,259,10.948189
5096,419,9.759607
5101,438,9.650458
5108,387,9.925603
5127,830,8.212401
5234,654,8.674979
5334,706,8.515416
5412,371,9.998912
5423,90,13.9337225
5502,56,15.302121
5514,490,9.359229
5550,610,8.850033
5579,418,9.762386
5795,905,7.984671
5828,846,8.1729
5847,447,9.602604
5858,59,15.1900215
5872,10,20.99067
5884,406,9.8144865
5997,110,13.543918
6084,461,9.551728
6113,655,8.673163
6160,101,13.709046
6247,156,12.456889
6315,9,21.34857
6383,65,14.674693
6416,122,13.179114
6438,944,7.8982353
6514,31,16.66883
6517,733,8.437813
6681,181,12.127063
6736,94,13.780761
6788,593,8.921141
6792,715,8.497292
6860,296,10.544178
6890,441,9.645122
6906,884,8.053275
6961,806,8.262037
6986,594,8.920688
7094,878,8.073105
7202,26,17.274216
7274,121,13.203059
7371,394,9.8890295
7380,351,10.120404
7413,364,10.031419
7416,711,8.510438
7433,681,8.592664
7437,804,8.265877
7470,911,7.975761
7533,345,10.158543
7596,280,10.663593
7631,242,11.105471
7676,240,11.161128
7685,252,10.98635
7791,941,7.9041944
7848,563,9.01391
7856,421,9.728074
7865,991,7.7813253
7878,537,9.103224
7924,840,8.183592
7954,493,9.340667
7981,146,12.646583
7994,458,9.559929
8027,258,10.951388
8073,247,11.055937
8080,896,8.02267
8109,919,7.9637766
8225,302,10.507376
8226,261,10.938549
8266,778,8.3290415
8269,951,7.890085
8329,131,13.003948
8398,752,8.387253
8413,278,10.677594
8471,448,9.599811
8478,505,9.302833
8488,158,12.435359
8507,943,7.899066
8659,311,10.421987
8689,852,8.143419
8691,934,7.9197035
8755,142,12.665075
8762,134,12.87732
8814,669,8.632796
8828,317,10.379524
8890,862,8.116528
8913,431,9.679897
8929,837,8.189565
9046,148,12.584652
9062,136,12.861499
9171,23,18.007479
9176,308,10.42647
9204,294,10.554497
9205,30,16.675077
9264,871,8.0986595
9341,958,7.87259
9379,560,9.02204
9388,731,8.440511
9402,313,10.400771
9437,469,9.4776945
9517,692,8.553056
9648,291,10.58198
9679,78,14.263269
9732,735,8.430556
9743,342,10.181106
9750,900,8.00675
9848,331,10.286936
9896,767,8.350311
9899,105,13.626593
9940,324,10.316666
