doc_id,ranking,BM25 score
31,866,9.069816
41,4786,4.8555617
47,1052,8.569812
50,812,9.202209
60,3670,5.5096164
76,2215,6.7022605
84,3904,5.373108
87,1115,8.412686
88,2067,6.893018
107,2703,6.2434735
114,897,8.985995
115,1972,7.0082216
123,3886,5.3840995
130,3168,5.8503256
142,3359,5.7050467
169,4158,5.2113523
177,4189,5.1956816
187,4141,5.2211494
197,478,10.472621
204,96,14.332103
212,2819,6.142848
217,3940,5.3442273
240,3967,5.330166
245,1353,7.9174533
252,3836,5.418946
270,984,8.732959
278,4955,4.7663083
285,2264,6.643485
288,2820,6.1421
297,1875,7.1352735
301,2303,6.58805
309,3296,5.7533684
313,990,8.72341
328,1128,8.381771
343,1786,7.247062
345,145,13.206871
351,909,8.954848
352,2002,6.971563
356,4229,5.1689677
358,2868,6.104195
376,697,9.601146
380,1359,7.9067116
391,1061,8.5557995
419,2525,6.3780837
433,4759,4.871663
440,2253,6.6663175
441,3674,5.50768
468,1755,7.297501
471,72,14.991936
483,2984,5.997193
485,3048,5.9483414
493,3396,5.6756973
501,4924,4.780408
547,4810,4.841135
569,474,10.498399
579,1879,7.1234674
593,65,15.263935
596,3584,5.567456
604,4261,5.1575584
606,4958,4.7649894
615,2134,6.8001585
627,851,9.105437
655,1868,7.1450777
656,2770,6.1795897
661,1403,7.8169746
686,1131,8.378447
694,3873,5.396414
700,2880,6.097639
701,5,25.494013
730,808,9.215573
733,2508,6.399623
746,25,17.026667
750,15,18.347878
755,4572,4.9808626
762,3452,5.6399345
763,4930,4.778736
779,3795,5.44173
782,2782,6.1726036
787,539,10.206119
798,3321,5.737269
807,602,9.973922
845,3343,5.7175646
848,77,14.733917
879,3978,5.322712
914,4486,5.026506
919,330,11.327694
950,4248,5.162168
952,3248,5.783771
964,4033,5.28891
968,674,9.689238
973,2089,6.8601913
981,2608,6.3108683
1012,2031,6.9389806
1018,4251,5.1607485
1024,2970,6.010853
1027,1671,7.40662
1048,3115,5.891907
1054,4079,5.258859
1105,657,9.756641
1117,1593,7.5148063
1120,235,11.938775
1127,371,11.064062
1131,4341,5.1073556
1137,2991,5.994205
1140,3130,5.8798385
1159,4155,5.2140284
1160,3361,5.7037306
1167,3447,5.6442704
1168,1819,7.2061257
1184,134,13.372723
1186,4434,5.053169
1190,4602,4.9635262
1194,4532,5.002686
1195,4828,4.8296027
1210,4950,4.7682114
1219,427,10.787979
1231,2016,6.9554386
1241,499,10.368316
1246,1829,7.1913166
1254,3783,5.447151
1261,2377,6.5207396
1276,1450,7.7522855
1295,2342,6.5542455
1298,4359,5.0938106
1312,209,12.214643
1327,4778,4.8593388
1351,2797,6.157567
1368,1129,8.381526
1389,386,10.962623
1416,4963,4.761759
1442,3302,5.750216
1457,3720,5.4837832
1464,3535,5.5971107
1481,4686,4.911383
1488,1848,7.16691
1494,4983,4.7502184
1495,3943,5.3425627
1500,1380,7.8755536
1502,1445,7.760592
