doc_id,ranking,BM25 score
288,188,18.06139
352,357,12.515836
666,59,27.162415
787,23,33.452267
1184,335,13.178755
1270,217,16.839619
1295,422,10.07437
1510,123,21.632647
1555,73,25.138311
1681,286,14.489016
1832,33,30.285355
2237,235,15.996114
2272,390,11.277608
2287,266,15.07147
2754,76,24.940674
2830,101,22.930153
2964,437,8.701857
3128,78,24.902626
3156,427,9.63695
3292,281,14.694975
3464,372,11.876231
3608,252,15.456955
3652,368,12.068719
3697,153,19.548677
3776,325,13.537657
4193,21,33.792732
4360,413,10.385809
4573,255,15.364971
4656,394,11.241892
4999,249,15.593215
5074,1,55.750626
5323,392,11.267027
5412,208,17.298826
5437,289,14.402838
5520,384,11.501904
5656,42,28.994467
5795,92,23.767687
5847,77,24.910389
5884,51,27.409843
5933,126,21.538042
5970,398,10.940095
6144,242,15.859881
6554,178,18.533724
6736,358,12.426381
7071,412,10.431147
7381,83,24.459726
7437,32,30.741322
7466,402,10.83503
7470,80,24.82002
7542,133,21.007904
7676,430,9.511247
7716,269,14.953723
7768,374,11.831482
7893,213,17.016762
7973,296,14.280828
8225,220,16.517582
8269,193,17.885742
8329,27,31.900204
8501,246,15.704095
8890,82,24.675999
8913,13,36.494385
9053,336,13.1326685
9240,428,9.516205
9292,41,29.070385
9402,295,14.332878
9724,55,27.315811
9751,121,21.690699
