doc_id,ranking,BM25 score
1108,,
1198,,
1280,5088.0,4.692106
3650,8745.0,2.1533926
4107,,
4453,8023.0,2.6681683
6287,9074.0,1.901157
8580,9348.0,1.5548695
9111,9329.0,1.6056403
9657,1645.0,7.439701
