doc_id,ranking,BM25 score
10,2590,4.6905212
31,305,10.434296
47,2069,5.5522637
50,277,10.680139
76,1982,5.7195783
84,3364,3.9338984
107,763,8.357254
111,1662,6.3015213
114,1777,6.073827
115,4274,3.2231555
123,1365,6.874669
124,4878,2.4029155
130,3441,3.8685913
142,1652,6.313639
180,3717,3.6621666
185,568,8.999586
187,3600,3.7520597
197,98,13.733626
204,39,16.168257
212,2189,5.352949
240,789,8.298223
245,1819,6.0032563
252,3887,3.5298104
270,638,8.737156
288,2975,4.25126
297,3682,3.681797
301,938,7.911413
313,2725,4.5218263
315,1522,6.5666146
328,1113,7.491625
345,236,11.290775
351,815,8.239539
352,1893,5.8525968
356,2017,5.6586995
358,1358,6.904032
373,3735,3.64918
376,464,9.542709
380,1866,5.899331
391,1439,6.7277737
406,1920,5.806301
433,3948,3.4883657
440,1784,6.062576
441,3811,3.5852652
471,104,13.653923
483,2868,4.360486
485,262,10.93683
501,2609,4.664543
513,4794,2.6005483
547,4569,2.9475906
569,189,11.98365
593,20,18.187586
596,3285,3.9893239
604,4115,3.3464005
606,1706,6.209228
615,4206,3.2731538
627,1173,7.3465967
655,3841,3.5664277
656,2147,5.44575
661,1757,6.126544
662,3927,3.5003407
666,4621,2.8853202
668,2703,4.5477476
686,1328,6.9592147
700,1414,6.7731566
701,7,24.136297
714,3311,3.9727707
730,2402,4.9889784
733,4890,2.3712616
743,3775,3.619984
746,41,16.12286
750,316,10.380666
762,4851,2.4695563
782,2862,4.366855
787,734,8.436887
790,4097,3.3645937
798,3787,3.6062922
848,63,14.885517
879,153,12.503914
914,3704,3.6668866
919,473,9.462211
921,4541,2.9765573
925,3050,4.1804447
952,2749,4.479109
1012,3754,3.6376495
1024,2766,4.459918
1027,2322,5.1341615
1030,1313,6.9881053
1048,2859,4.3691816
1054,2389,5.021982
1105,133,12.924448
1117,3068,4.1621604
1120,57,15.23633
1121,1646,6.323208
1127,82,14.084468
1137,1192,7.2837033
1140,2323,5.130871
1167,3379,3.9219553
1168,4195,3.2832124
1184,408,9.806961
1194,1440,6.727503
1219,893,8.038428
1231,1838,5.967695
1241,1503,6.5997043
1246,1575,6.446525
1254,2152,5.435499
1256,2804,4.420134
1261,2614,4.652936
1273,4491,3.0266511
1276,644,8.716405
1287,4712,2.7442958
1290,3099,4.1385713
1295,4506,3.0110626
1312,434,9.660983
1351,2811,4.4133563
1362,1352,6.9117146
1368,2213,5.311291
1389,3884,3.533371
1416,2563,4.735497
1442,3220,4.0430975
1457,974,7.8178844
1464,1406,6.788628
1488,4726,2.7212677
1495,2197,5.3425627
1500,1875,5.87906
1502,2660,4.595782
1504,1310,6.9919443
1506,2005,5.679396
1509,1770,6.094494
1510,525,9.168683
1513,1713,6.1960588
1548,3794,3.6005867
1555,293,10.569154
1614,1144,7.398441
1627,2484,4.867028
1636,187,11.988488
1638,972,7.826372
1662,3803,3.5907784
1665,116,13.359595
1681,1082,7.5610085
1683,1356,6.909319
1688,4201,3.2774875
1695,531,9.121239
1709,2172,5.3846393
1718,109,13.558797
1724,4033,3.416183
1738,2050,5.5813437
1758,3403,3.8978693
1764,21,18.093996
1783,1865,5.9012322
1801,3317,3.9675097
1802,250,10.998693
1810,2529,4.7790756
1830,1221,7.2018175
1832,340,10.197326
1833,917,7.964102
1844,3399,3.9002705
1854,4330,3.183173
1858,2475,4.886769
1861,2611,4.661514
1866,3006,4.2276764
1873,3391,3.9106724
1884,918,7.963813
1894,99,13.720297
1933,836,8.196277
1936,4902,2.3388968
1948,4863,2.4366534
1954,3906,3.514306
1957,322,10.354823
1974,4847,2.4834917
1978,4532,2.9915025
2015,4864,2.4277022
2021,190,11.981147
2034,2127,5.4705577
2060,4186,3.2915661
2095,1468,6.68157
2102,68,14.639189
2104,55,15.406669
2105,3577,3.7666864
2116,4767,2.6364474
2138,3554,3.7864544
2167,898,8.017951
2169,66,14.6538725
2170,1118,7.479512
2191,3199,4.062409
2201,3072,4.158952
2202,4535,2.9850407
2204,1687,6.2513094
2220,3546,3.7906506
2231,2450,4.9246345
2243,3053,4.1773825
2260,4892,2.3649125
2272,80,14.229789
2298,1042,7.6711893
2342,1400,6.806985
2347,2325,5.1278076
2359,3,29.183979
2365,1790,6.057949
2368,2173,5.380231
2385,1535,6.527072
2404,86,14.014883
2439,2111,5.500002
2440,1486,6.648959
2454,2040,5.6045933
2459,2579,4.716307
2464,435,9.658333
2512,1568,6.460213
2532,1969,5.733089
2533,2408,4.976887
2541,4228,3.26204
2578,954,7.8791003
2593,666,8.642616
2595,4591,2.9261353
2607,5005,2.1566546
2635,4490,3.028102
2637,2401,4.995268
2640,716,8.487988
2648,1821,5.9975333
2657,3661,3.7049963
2664,3465,3.8507128
2669,4909,2.3044236
2670,4091,3.36887
2671,1303,7.0081925
2692,4793,2.6008973
2744,3645,3.7163641
2747,1607,6.3945875
2754,660,8.665562
2795,3371,3.926918
2800,2115,5.4977713
2811,2329,5.1189065
2818,2446,4.9262285
2826,1991,5.7004538
2830,684,8.580034
2869,4314,3.1940398
2870,745,8.4076185
2871,4671,2.819283
2892,3559,3.7806375
2903,4110,3.3484867
2937,2000,5.6924024
2943,4070,3.38775
2953,1302,7.0103545
2964,1816,6.0077963
2988,3643,3.716657
3012,495,9.329417
3020,375,9.976105
3024,2739,4.4969783
3029,4430,3.0890887
3037,2789,4.429107
3044,4515,3.0038314
3058,3408,3.8942695
3078,1110,7.4962373
3080,4373,3.1473331
3084,4301,3.203746
3086,264,10.886275
3096,3147,4.1042037
3127,3916,3.5059526
3128,1736,6.1653223
3135,4298,3.2050157
3150,2205,5.331116
3154,2336,5.1104627
3156,175,12.179322
3158,4720,2.726675
3160,3937,3.4963684
3197,4542,2.9764385
3204,3173,4.085244
3206,455,9.579457
3220,2893,4.339609
3251,2341,5.1069164
3262,4207,3.2730086
3264,4995,2.1661258
3291,4492,3.026369
3292,1446,6.7243023
3295,4172,3.3044305
3296,2948,4.283897
3300,1693,6.235021
3312,2052,5.577787
3313,4612,2.8985603
3340,167,12.288495
3352,2300,5.1723332
3367,396,9.885918
3369,4417,3.1040845
3377,2671,4.5824466
3429,161,12.376437
3444,343,10.165219
3464,1823,5.9944453
3472,1558,6.478222
3513,2840,4.386394
3522,2056,5.5727115
3549,2270,5.226309
3569,3319,3.9654317
3583,4352,3.1667764
3589,4652,2.8449414
3601,2199,5.3417115
3608,700,8.536637
3629,267,10.836918
3640,4773,2.6277158
3652,3999,3.4467373
3662,629,8.770703
3665,2846,4.383537
3697,1983,5.717107
3704,2744,4.4919076
3733,25,17.28081
3762,92,13.917524
3776,1767,6.103279
3777,1423,6.758165
