doc_id,ranking,BM25 score
10,2590,4.6905212
11,6125,1.7228289
26,6170,1.7091591
31,305,10.434296
41,6175,1.707943
47,2069,5.5522637
50,277,10.680139
60,7129,1.2445749
76,1982,5.7195783
84,3364,3.9338984
85,6073,1.7393049
86,6501,1.5586178
87,5701,1.8460007
107,763,8.357254
111,1662,6.3015213
114,1777,6.073827
115,4274,3.2231555
123,1365,6.874669
124,4878,2.4029155
130,3441,3.8685913
140,7025,1.2679574
142,1652,6.313639
169,6271,1.6666828
177,5638,1.8720151
180,3717,3.6621666
185,568,8.999586
187,3600,3.7520597
193,7757,1.0893255
197,98,13.733626
201,6915,1.2990443
204,39,16.168257
212,2189,5.352949
217,5543,1.9038845
240,789,8.298223
245,1819,6.0032563
252,3887,3.5298104
270,638,8.737156
285,5295,2.005057
288,2975,4.25126
294,5374,1.970051
297,3682,3.681797
301,938,7.911413
303,7511,1.1663431
309,7408,1.187192
313,2725,4.5218263
315,1522,6.5666146
325,7394,1.190745
328,1113,7.491625
333,6078,1.7356751
343,5748,1.8330418
345,236,11.290775
351,815,8.239539
352,1893,5.8525968
356,2017,5.6586995
358,1358,6.904032
368,7297,1.2119548
371,5957,1.7711014
373,3735,3.64918
376,464,9.542709
380,1866,5.899331
382,6387,1.6138837
391,1439,6.7277737
406,1920,5.806301
417,6940,1.2909768
419,7055,1.259543
430,6865,1.3195316
433,3948,3.4883657
440,1784,6.062576
441,3811,3.5852652
468,5545,1.9036131
471,104,13.653923
483,2868,4.360486
485,262,10.93683
487,5642,1.8709521
493,6015,1.7532378
501,2609,4.664543
513,4794,2.6005483
521,7151,1.2413516
547,4569,2.9475906
569,189,11.98365
579,5065,2.1207747
585,7058,1.259124
593,20,18.187586
596,3285,3.9893239
601,7592,1.144717
604,4115,3.3464005
606,1706,6.209228
615,4206,3.2731538
627,1173,7.3465967
635,7647,1.1275847
652,6419,1.5969799
655,3841,3.5664277
656,2147,5.44575
661,1757,6.126544
662,3927,3.5003407
666,4621,2.8853202
668,2703,4.5477476
686,1328,6.9592147
694,7573,1.1513158
700,1414,6.7731566
701,7,24.136297
705,6845,1.3300058
714,3311,3.9727707
715,7900,0.9790909
730,2402,4.9889784
733,4890,2.3712616
743,3775,3.619984
746,41,16.12286
750,316,10.380666
755,6407,1.6028299
762,4851,2.4695563
763,7270,1.2159896
769,6464,1.5763448
779,7215,1.2280043
782,2862,4.366855
787,734,8.436887
790,4097,3.3645937
796,7825,1.0551568
798,3787,3.6062922
800,5561,1.8956985
834,5581,1.8882451
835,7715,1.104075
838,6892,1.3074423
839,6048,1.7447674
845,6576,1.5104909
848,63,14.885517
874,6908,1.3013048
876,6896,1.3049792
879,153,12.503914
891,7872,1.0199685
914,3704,3.6668866
919,473,9.462211
921,4541,2.9765573
925,3050,4.1804447
952,2749,4.479109
964,5936,1.7772312
968,7180,1.2344091
973,5382,1.9666282
974,5396,1.9615401
1012,3754,3.6376495
