doc_id,ranking,BM25 score
10,2590,4.6905212
31,305,10.434296
47,2069,5.5522637
50,277,10.680139
76,1982,5.7195783
107,763,8.357254
111,1662,6.3015213
114,1777,6.073827
123,1365,6.874669
142,1652,6.313639
185,568,8.999586
197,98,13.733626
204,39,16.168257
212,2189,5.352949
240,789,8.298223
245,1819,6.0032563
270,638,8.737156
288,2975,4.25126
301,938,7.911413
313,2725,4.5218263
315,1522,6.5666146
328,1113,7.491625
345,236,11.290775
351,815,8.239539
352,1893,5.8525968
356,2017,5.6586995
358,1358,6.904032
376,464,9.542709
380,1866,5.899331
391,1439,6.7277737
406,1920,5.806301
440,1784,6.062576
471,104,13.653923
483,2868,4.360486
485,262,10.93683
501,2609,4.664543
569,189,11.98365
593,20,18.187586
606,1706,6.209228
627,1173,7.3465967
656,2147,5.44575
661,1757,6.126544
668,2703,4.5477476
686,1328,6.9592147
700,1414,6.7731566
701,7,24.136297
730,2402,4.9889784
746,41,16.12286
750,316,10.380666
782,2862,4.366855
787,734,8.436887
848,63,14.885517
879,153,12.503914
919,473,9.462211
952,2749,4.479109
1024,2766,4.459918
1027,2322,5.1341615
1030,1313,6.9881053
1048,2859,4.3691816
1054,2389,5.021982
1105,133,12.924448
1120,57,15.23633
1121,1646,6.323208
1127,82,14.084468
1137,1192,7.2837033
1140,2323,5.130871
1184,408,9.806961
1194,1440,6.727503
1219,893,8.038428
1231,1838,5.967695
1241,1503,6.5997043
1246,1575,6.446525
1254,2152,5.435499
1256,2804,4.420134
1261,2614,4.652936
1276,644,8.716405
1312,434,9.660983
1351,2811,4.4133563
1362,1352,6.9117146
1368,2213,5.311291
1416,2563,4.735497
1457,974,7.8178844
1464,1406,6.788628
1495,2197,5.3425627
1500,1875,5.87906
1502,2660,4.595782
1504,1310,6.9919443
1506,2005,5.679396
1509,1770,6.094494
1510,525,9.168683
1513,1713,6.1960588
1555,293,10.569154
1614,1144,7.398441
1627,2484,4.867028
1636,187,11.988488
1638,972,7.826372
1665,116,13.359595
1681,1082,7.5610085
1683,1356,6.909319
1695,531,9.121239
1709,2172,5.3846393
1718,109,13.558797
1738,2050,5.5813437
1764,21,18.093996
1783,1865,5.9012322
1802,250,10.998693
1810,2529,4.7790756
1830,1221,7.2018175
1832,340,10.197326
1833,917,7.964102
1858,2475,4.886769
1861,2611,4.661514
1884,918,7.963813
1894,99,13.720297
1933,836,8.196277
1957,322,10.354823
2021,190,11.981147
2034,2127,5.4705577
2095,1468,6.68157
2102,68,14.639189
2104,55,15.406669
2167,898,8.017951
2169,66,14.6538725
2170,1118,7.479512
2204,1687,6.2513094
2231,2450,4.9246345
2272,80,14.229789
2298,1042,7.6711893
2342,1400,6.806985
2347,2325,5.1278076
2359,3,29.183979
2365,1790,6.057949
2368,2173,5.380231
2385,1535,6.527072
2404,86,14.014883
2439,2111,5.500002
2440,1486,6.648959
2454,2040,5.6045933
2459,2579,4.716307
2464,435,9.658333
2512,1568,6.460213
2532,1969,5.733089
2533,2408,4.976887
2578,954,7.8791003
2593,666,8.642616
2637,2401,4.995268
2640,716,8.487988
2648,1821,5.9975333
2671,1303,7.0081925
2747,1607,6.3945875
2754,660,8.665562
2800,2115,5.4977713
2811,2329,5.1189065
2818,2446,4.9262285
2826,1991,5.7004538
2830,684,8.580034
2870,745,8.4076185
2937,2000,5.6924024
2953,1302,7.0103545
2964,1816,6.0077963
3012,495,9.329417
3020,375,9.976105
3024,2739,4.4969783
3037,2789,4.429107
3078,1110,7.4962373
3086,264,10.886275
3128,1736,6.1653223
3150,2205,5.331116
3154,2336,5.1104627
3156,175,12.179322
3206,455,9.579457
3220,2893,4.339609
3251,2341,5.1069164
3292,1446,6.7243023
3296,2948,4.283897
3300,1693,6.235021
3312,2052,5.577787
3340,167,12.288495
3352,2300,5.1723332
3367,396,9.885918
3377,2671,4.5824466
3429,161,12.376437
3444,343,10.165219
3464,1823,5.9944453
3472,1558,6.478222
3513,2840,4.386394
3522,2056,5.5727115
3549,2270,5.226309
3601,2199,5.3417115
3608,700,8.536637
3629,267,10.836918
3662,629,8.770703
3665,2846,4.383537
3697,1983,5.717107
3704,2744,4.4919076
3733,25,17.28081
3762,92,13.917524
3776,1767,6.103279
3777,1423,6.758165
3793,672,8.620383
3808,182,12.07222
3817,238,11.216614
3841,2886,4.3430605
3847,1374,6.8601723
3876,1089,7.5445685
3903,1992,5.7000756
3904,2968,4.25861
3924,1804,6.0272727
3955,2070,5.5510693
3981,17,18.414352
3988,1640,6.326826
4038,1141,7.402529
4042,648,8.697496
4060,2992,4.2369604
4090,1660,6.3049393
4094,2790,4.4280987
4154,1353,6.910005
4161,916,7.967932
4184,1894,5.8522835
4193,307,10.430171
4198,1070,7.589135
4212,966,7.857389
4228,1128,7.443208
4247,912,7.9725537
4266,569,8.996625
4335,874,8.084825
4337,2246,5.257124
4339,1150,7.39125
4355,1968,5.7337356
4436,77,14.277386
4464,1501,6.6013227
4468,1288,7.0364966
4469,848,8.166257
4472,2209,5.3189664
4480,2478,4.879372
4487,1650,6.315808
4494,2596,4.683508
4512,2915,4.321404
4544,2132,5.462845
4571,2134,5.461804
4572,2519,4.8024416
4601,1442,6.7256474
4603,295,10.553396
4656,2100,5.5142837
4661,870,8.099272
4728,1905,5.8326216
4738,179,12.144063
4750,2565,4.7347584
4756,2857,4.3736906
4759,339,10.200827
4764,2200,5.3411994
4768,2222,5.3034945
4781,2264,5.2355204
4810,1962,5.744881
4821,946,7.8923407
4831,483,9.40984
4869,908,7.980826
4870,516,9.228091
4918,38,16.241024
4937,1461,6.691787
4969,1274,7.063924
4970,1645,6.323763
4991,998,7.7676425
4996,40,16.163317
4999,737,8.4266
5001,2087,5.535989
5074,259,10.948189
5092,2013,5.662982
5096,419,9.759607
5101,438,9.650458
5103,2812,4.41199
5108,387,9.925603
5127,830,8.212401
5179,2175,5.3741417
5197,1598,6.4130907
5234,654,8.674979
5237,1600,6.4041085
5241,2690,4.562296
5276,1949,5.7668366
5327,1381,6.849483
5334,706,8.515416
5357,1669,6.2800097
5383,1984,5.7167945
5412,371,9.998912
5423,90,13.9337225
5437,2355,5.0836744
5494,1063,7.607776
5502,56,15.302121
5514,490,9.359229
5520,1801,6.035577
5522,2869,4.359796
5528,2235,5.2772636
5546,1632,6.345425
5550,610,8.850033
5579,418,9.762386
5593,1300,7.016709
5656,1129,7.442979
5667,2706,4.5449753
5755,1820,5.998204
5795,905,7.984671
5828,846,8.1729
5847,447,9.602604
5856,1515,6.575603
5858,59,15.1900215
5864,2677,4.5716
5872,10,20.99067
5880,1117,7.480612
5884,406,9.8144865
5891,1795,6.046787
5967,1183,7.3166256
