Identifier,N_kw = 10
1.0,3438
4.0,#N/A
10.0,#N/A
11.0,#N/A
26.0,898
31.0,2261
41.0,#N/A
47.0,1492
50.0,1982
60.0,2066
76.0,1203
81.0,#N/A
84.0,3080
85.0,1988
86.0,1147
87.0,#N/A
88.0,1399
90.0,#N/A
100.0,#N/A
107.0,#N/A
111.0,#N/A
114.0,824
115.0,2443
123.0,#N/A
124.0,#N/A
130.0,3276
140.0,#N/A
142.0,#N/A
169.0,1285
177.0,2447
180.0,#N/A
183.0,#N/A
185.0,#N/A
187.0,3349
193.0,#N/A
197.0,#N/A
201.0,#N/A
204.0,#N/A
212.0,#N/A
217.0,#N/A
240.0,160
245.0,2202
252.0,#N/A
253.0,#N/A
263.0,#N/A
270.0,#N/A
278.0,#N/A
285.0,1188
286.0,#N/A
288.0,1738
294.0,#N/A
297.0,#N/A
300.0,#N/A
301.0,1084
302.0,3049
303.0,1652
309.0,#N/A
313.0,2917
315.0,#N/A
325.0,237
328.0,#N/A
333.0,2984
342.0,#N/A
343.0,1055
345.0,696
350.0,#N/A
351.0,3520
352.0,#N/A
356.0,#N/A
358.0,#N/A
368.0,#N/A
371.0,#N/A
373.0,#N/A
376.0,425
380.0,408
382.0,#N/A
391.0,3232
403.0,#N/A
406.0,607
416.0,#N/A
417.0,2859
419.0,#N/A
426.0,#N/A
430.0,793
433.0,#N/A
440.0,3435
441.0,#N/A
468.0,#N/A
471.0,321
483.0,#N/A
485.0,678
487.0,#N/A
493.0,#N/A
494.0,#N/A
501.0,467
508.0,#N/A
513.0,1768
521.0,#N/A
547.0,#N/A
569.0,#N/A
579.0,#N/A
585.0,753
593.0,1721
596.0,#N/A
601.0,#N/A
604.0,#N/A
606.0,#N/A
615.0,2757
627.0,2178
635.0,2595
643.0,#N/A
652.0,#N/A
655.0,#N/A
656.0,#N/A
661.0,832
662.0,#N/A
665.0,#N/A
666.0,#N/A
668.0,1484
674.0,3026
686.0,#N/A
694.0,936
700.0,#N/A
701.0,#N/A
705.0,#N/A
708.0,#N/A
711.0,#N/A
714.0,#N/A
715.0,#N/A
730.0,183
733.0,#N/A
739.0,#N/A
743.0,#N/A
746.0,#N/A
750.0,#N/A
755.0,#N/A
762.0,#N/A
763.0,29
769.0,3495
776.0,#N/A
778.0,#N/A
779.0,#N/A
782.0,1368
787.0,609
790.0,#N/A
796.0,#N/A
797.0,#N/A
798.0,#N/A
799.0,#N/A
800.0,2304
807.0,#N/A
817.0,#N/A
834.0,#N/A
835.0,131
838.0,#N/A
839.0,#N/A
845.0,1919
848.0,#N/A
851.0,#N/A
861.0,#N/A
874.0,1905
876.0,995
879.0,#N/A
891.0,#N/A
903.0,#N/A
914.0,#N/A
919.0,150
921.0,3033
925.0,1563
931.0,#N/A
940.0,#N/A
950.0,#N/A
