Performance metrics for each combination of n_mc and n_kw:
n_mc       n_kw       Precision  Recall    
200        5          0.1826     0.1573    
200        10         0.1931     0.1209    
200        15         0.2190     0.0526    
600        5          0.1910     0.3758    
600        10         0.1860     0.2657    
600        15         0.1946     0.1177    
1000       5          0.1874     0.4908    
1000       10         0.1874     0.3590    
1000       15         0.1970     0.1654    
