Document Order,ranking,bm25_score
1,4315,100.51837566025657
31,2400,158.76954844616603
47,3105,144.46319584166534
50,971,188.19006891191995
76,732,194.42972256282795
84,3027,146.1447472464546
86,2008,166.08399956335464
87,1128,184.13277444322384
88,636,197.2435649821607
90,3234,141.62790017946628
114,3083,144.94299854461474
115,3777,125.66210766510524
123,3503,134.22102324740538
130,1989,166.48111340843298
169,559,199.7895917927989
177,1322,179.53933430631324
185,2338,159.8876025295881
187,4126,111.31649389332112
193,1754,171.33236191501982
201,4070,114.0102143906263
204,3496,134.5097343988985
212,3335,139.40838650913756
217,4531,80.77098595725533
240,838,191.4877085590996
245,1289,180.34535744006868
253,4460,89.64825519279367
278,4227,106.14547970882438
285,1088,185.29463183804089
288,103,228.17710306226093
301,1021,186.9387212934694
302,4141,110.75645062667654
303,2212,162.05619611545072
309,2093,164.34428211438268
313,1812,170.22985779801556
325,1670,173.02920858312393
328,3751,126.35071960772012
333,4090,113.12660298939534
342,824,191.97579721979827
343,550,200.1298600419385
345,649,196.75716067286905
351,243,215.46690365095571
376,1580,174.49103847270484
380,403,206.4095643929315
391,590,198.6280899473568
406,680,196.05292820192668
417,3161,143.22031149434196
430,1166,183.3625349582896
433,2172,162.79597193433662
440,834,191.5383568367708
468,2789,150.69685295609813
471,1987,166.48917108756362
483,4442,91.12272116459587
485,2309,160.3091378840742
487,1891,168.6098834467102
579,1302,179.94708887302488
593,3854,123.05757120744408
596,2446,157.61704223466725
615,1279,180.56532788856916
627,146,223.7907971567376
635,2518,155.94303811102242
656,1640,173.4285914767568
666,63,234.6024896152124
668,879,190.28821077761535
674,423,205.29465227295108
701,3884,122.19684622977678
711,4659,66.90407678966397
714,3665,129.1159413559829
715,720,194.81489958334691
733,3266,141.0293756712945
739,4744,38.98499552803336
750,2708,152.2330651858136
763,877,190.3890794622879
769,2744,151.57162496711135
782,486,202.4224286042208
787,806,192.4570848955396
797,4602,74.2872887220249
799,4707,56.77374164651477
807,4653,67.55044759859425
839,3833,123.83082769866915
845,3954,119.28026881467996
848,4035,115.58289843636568
851,4412,93.81669264029
879,1738,171.7599543493229
914,3324,139.6158304690283
919,89,230.08270083067617
921,4112,111.97191646343724
925,401,206.4663791856908
940,4448,90.84196890048094
950,4483,86.83196837946277
952,1098,185.0262510104408
964,1008,187.29721209126808
972,3573,132.13883658572362
974,2033,165.7213637733134
1018,817,192.18566229868148
1029,4244,105.16039462685453
1030,1364,178.5902905951594
1041,4601,74.35238109484104
1048,406,206.25193084483067
1082,3871,122.6677739828162
1088,4076,113.71543868872696
1105,1503,175.9387737866513
1111,520,201.0841184662356
1112,4751,32.793818800802946
1121,3615,130.95898857755938
1127,840,191.46128211514625
1139,4746,36.4070841703786
1140,1421,177.58201905053923
1151,4641,70.2794008204736
1159,2401,158.7600648127724
1160,552,200.1214658301979
1165,1163,183.3729804032357
1167,958,188.4734858197514
1179,4685,62.343544619754105
1184,577,199.16717642912283
1185,4164,109.582289041756
1186,4548,78.927219440169
1219,416,205.88674562777496
1231,2621,154.06561400075867
1241,3660,129.4518943247972
1245,3918,120.71402026759196
1246,727,194.5479956706648
1256,4057,114.7142459770624
1261,1513,175.69617955445304
1276,1216,181.8748254014694
1288,4362,96.67822689528556
1298,4260,103.95030159092362
1312,696,195.75954434258017
1314,543,200.28128406808025
1320,4381,95.60574539789458
1351,1441,177.12625557267904
1368,814,192.2662246030485
1389,2903,148.466186002299
1397,3697,128.13397064317928
1416,4417,93.5011010469938
1457,2942,147.76653225776303
1466,4216,106.84882872982804
1477,3763,125.93336476982395
1488,2383,159.05841790434647
1495,2350,159.6345595438998
1500,485,202.50913643614916
1502,677,196.11714340245516
1504,4391,95.01444151255215
1506,678,196.07063223061888
1509,1479,176.3231210585587
1510,566,199.52673031634728
1512,4082,113.47584898283829
1534,4606,74.1210950549809
1553,2514,156.10265345996868
1555,1106,184.82096546234644
1577,695,195.76721341420335
1614,4686,62.31905144444342
1618,1306,179.8727716077347
1627,3596,131.31343637181018
1631,2526,155.73534470937224
1634,3169,143.08384475524943
1638,3867,122.7347196006072
1645,1249,181.2736201018474
1665,4121,111.52723472052452
1688,722,194.77231694933383
1695,4357,97.361210879279
1718,388,206.99940493685028
1796,128,225.4809997491872
1802,3517,133.94379097958887
1810,2750,151.50006938335702
1832,711,195.1225707569371
1840,2395,158.86450172273152
1844,3222,141.80618703927678
1848,3990,117.90149519200804
1858,1068,185.75539505223944
1866,4505,83.94162917384216
1872,530,200.79907441497892
1910,418,205.53026971961165
1933,4478,87.96379104122141
1936,2372,159.24739912231266
1937,1399,178.04233609598597
1948,820,192.02435016800456
1957,1648,173.35330275924971
1959,3744,126.50402794611566
1971,1680,172.73357269489995
1973,2635,153.69766371577828
2000,2038,165.51783494956842
2021,950,188.6529490303732
2031,293,211.89299817094985
2034,12,250.23847203869423
2045,1228,181.66382020329
2060,3572,132.15684903501918
2086,3187,142.62052911588418
2101,4504,84.10290901076422
2102,189,219.758513440827
2104,190,219.64365178654407
2138,688,195.88252283193688
2167,2490,156.5991436834552
2169,2044,165.38475152721415
2170,2455,157.46148666248845
2175,2641,153.61833608478153
2181,4528,80.93973838913678
2191,4095,112.66550145351376
2201,3626,130.5669694425615
2219,4258,104.2144371647396
2220,44,237.65509624716236
2231,340,209.49869191619268
2236,3192,142.53343608718566
2237,3749,126.47920808037884
2243,3371,138.67399201354684
2260,420,205.47879503720745
2269,4411,93.83698648125456
2287,1711,172.21296724503765
2298,71,233.05912821493675
2310,4732,48.18961334093116
2316,4604,74.15555282379572
2338,2720,151.9611342722791
2346,4200,107.4640935089156
2359,3114,144.16897277547372
2362,433,204.684724206462
2368,1949,167.3525951182602
2385,4546,79.22431317039718
2404,3791,125.3047493575336
2414,1297,180.0615557986815
2415,2757,151.33943082540972
2440,3926,120.4802292091192
2464,2413,158.38540275820972
2471,2448,157.582698622772
2491,4281,102.86113421563763
2492,3864,122.8264227831624
2501,4506,83.91627106903466
2505,4312,100.76263635079265
2514,1886,168.8014382454571
2523,4600,74.47307404100206
2524,1737,171.78848549456174
2528,1156,183.49280905092863
2535,1519,175.65770580580605
2541,3156,143.347843177032
2555,3075,145.0593321402947
2568,472,203.15366819995597
2578,1393,178.21866487005633
2593,744,194.10648323941888
2594,3552,133.05735323437122
2599,4481,87.290242565832
2607,2261,161.0821525733357
2613,3998,117.54400401756968
2617,2086,164.46460086264108
2621,4613,73.4433090543866
2640,1845,169.5763984766485
2648,2613,154.207563599246
2664,4572,76.56711790953995
2669,3241,141.4193210571063
2670,3908,121.04262031853676
2671,1583,174.40777289013806
2692,2990,146.74591816646867
2703,3287,140.51458591755065
2723,3494,134.59788875181573
2734,3257,141.12560446985992
2735,4728,49.68234918056442
2754,1040,186.52003421708676
2757,4470,88.87551817960494
2805,4272,103.37721054060582
2807,4540,79.63139665613616
2811,4119,111.6345793804684
2817,1661,173.1561959816798
2818,2013,166.03488321345594
2842,4533,80.46921798763412
2868,4274,103.22596663451608
2871,4524,81.59442745926557
2873,95,228.69680493372584
2879,4016,116.6126539387015
2896,304,211.5057552472501
2898,679,196.06580391191872
2903,234,216.3114726133684
2928,4419,93.2594220903206
2938,4568,77.13224593368838
2939,4307,101.1647484671609
2943,2407,158.55436155902532
2946,1687,172.5324378290304
2964,86,230.38178637967755
3010,17,247.4067926984688
3012,762,193.78674627910164
3020,2866,149.3385833368041
3024,2498,156.44751608047932
3026,3820,124.26325301572896
3048,2991,146.73941273950305
3050,437,204.47012277412315
3080,2527,155.69796410921427
3086,181,220.33716861773237
3090,2865,149.34109028223824
3100,4228,106.12496154546048
3108,1384,178.3202267505205
3111,4609,73.98537432192431
3127,1357,178.79207114489256
3143,3762,125.94598754688734
3150,1827,169.82438384852583
3156,235,216.20441443893452
3158,2188,162.54894831195898
3194,2360,159.43360606815344
3195,1499,176.00876352556733
3197,3208,142.19617532859914
3204,4124,111.4705491772502
3209,2326,160.02193946619434
3220,2604,154.33661787553422
3250,1409,177.87836920555245
3260,2300,160.36754007849132
3261,469,203.23382247604815
3262,3509,134.11544090711175
3290,4064,114.27707024552905
3292,239,215.82720384832095
3295,140,224.48594823717607
3300,1638,173.44326658827913
3312,2630,153.85918145111717
3313,345,209.30443963117813
3314,3313,140.01301707113177
3329,4729,49.42073630713053
3337,2290,160.49647497333004
3338,1164,183.3649435017565
3352,1756,171.3300500487029
3371,3822,124.24026640978587
3377,837,191.49289235574213
3387,4580,75.77035230118848
3389,4415,93.58046949974484
3395,2726,151.87104986120707
3426,217,217.50085891478227
3443,3689,128.27626425669766
3444,1247,181.33114224865605
3464,1206,182.26523960024875
3472,2139,163.44120825066773
3480,4346,98.52940927291822
3513,1627,173.60007741068125
3526,1116,184.4488773189844
3559,264,213.41036019168587
3569,3088,144.8425623552168
3583,1652,173.31337922654137
3589,477,202.9607136926237
3597,4328,99.62665703600928
3608,3272,140.90274376341318
3629,478,202.90006658871712
3633,1457,176.72795648050314
3658,4329,99.6240091227471
3662,681,196.0205228007168
3665,2480,156.7914300402017
3674,4209,107.13975849375234
3676,1556,174.95791020629943
3679,4639,70.32903047172324
3692,2967,147.20254611031143
3693,4428,92.19107014589122
3697,66,234.2877302978287
3720,4429,92.13344285451834
3733,1614,173.89487999981318
3747,3877,122.45965417311096
3752,4631,70.94824528325398
3776,496,201.98842038160285
3793,75,232.25723039427143
3802,495,202.09542027397148
3803,129,225.4503542675517
3808,2087,164.45080635795946
3817,1450,176.98906408528006
3827,3976,118.48034014748532
3838,2928,148.1023266699311
3840,3400,137.67963488772233
3846,1722,171.9977327772585
3847,2561,155.01230547095076
3869,2715,152.07824238318892
3871,2511,156.15104418652933
3876,2787,150.80120196688972
3879,4711,55.57259872307404
3890,4583,75.73176858528134
3904,2243,161.4528910923377
3921,4678,64.00940535412056
3923,4722,51.8094743141133
3924,1657,173.18925177170175
3959,2146,163.2562396278201
3979,3195,142.48729273307782
3981,3891,121.82264194859329
3988,2508,156.15788989342715
3989,1790,170.60998198783224
3991,4652,67.66561696033656
4002,3602,131.21129502802134
4038,26,245.5138612452908
4052,4545,79.27357930506618
4055,3939,119.79338914721396
4098,1369,178.51832719272562
4104,2517,155.94638348671606
4142,4479,87.71243875003063
4156,4385,95.35265004642356
4184,4495,85.19559227856922
4193,548,200.1527989961426
4198,1604,174.03814486668497
4212,4695,60.41178760593479
4221,1340,179.23447889222763
4231,4081,113.52816610041094
4251,4405,94.2594005239108
4287,3191,142.55193171941224
4318,4004,117.08482841664345
4335,288,212.18337881960304
4339,1224,181.73347795144687
4342,2948,147.68585927237004
4350,2685,152.6650287202592
4355,800,192.68218117966268
4360,640,197.2021405877234
4361,2555,155.08378807745575
4369,3671,128.99931406009057
4381,1330,179.42102906958857
4387,1253,181.0238931281577
4433,3959,118.93784185624467
4436,2755,151.35222162709564
4454,470,203.22508593231387
4455,282,212.46271744931445
4464,3834,123.81675670612528
4468,857,191.1469184839019
4469,1237,181.50433939393227
4472,1767,171.12666084361274
4473,2887,148.78186024994167
4479,4558,78.04259786668288
4494,2812,150.2521734023051
4498,1665,173.10006766112676
4507,4503,84.32004038340061
4517,3470,135.26293971757522
4520,1126,184.19002260918435
4526,3659,129.45750191002057
4533,2217,161.95979141961166
4572,2351,159.58421811422616
4573,250,214.69747493267087
4574,2912,148.40477402701606
4576,2281,160.73956272553957
4581,4502,84.4218174279884
4591,2069,164.99638147452862
4598,3506,134.19659289207618
4601,1299,179.9972526708936
4622,54,235.72718349857297
4631,4709,56.38338997579152
4656,494,202.1045523393242
4661,2637,153.67309391990392
4684,4590,75.13869482754195
4699,195,219.4791806313516
4713,3814,124.41877696527364
4716,3556,132.74662870867667
4721,351,208.73579586006173
4724,320,210.4350392198136
4738,2041,165.40448675213028
4758,134,225.0516418208012
4759,1013,187.19764595138503
4762,214,217.72293771964365
4768,4371,96.2750527190616
4781,1887,168.79076633242175
4810,2824,149.96045999381496
4831,49,236.34235432075923
4833,3350,139.08834214636647
4852,2194,162.38490145798747
4854,2550,155.19315612295156
4855,2375,159.19451084843598
4869,414,205.90745214621643
4870,1095,185.12294875109316
4877,2910,148.43622091888523
4881,1569,174.80990505091546
4913,430,204.81219963971415
4924,4067,114.13073722328905
4932,1460,176.6506839690304
4936,2192,162.43103854719257
4940,4002,117.25927233862048
4943,4242,105.26346317381577
4969,2355,159.5054942765525
4975,2296,160.40470991949542
4987,2512,156.13567938556258
4991,900,189.913971526536
4996,197,219.3910849556984
4999,4233,105.87761676521612
5001,1047,186.2435012461576
5009,4480,87.6194076394409
5074,200,219.22260903394505
5095,4364,96.55023641422444
5096,3533,133.59789297631275
5101,1749,171.4135456949382
5108,3497,134.48886561497164
5137,4716,52.89822968503599
5179,2054,165.24186275991804
5217,2162,162.9144246999398
5223,2670,153.08432115605555
5228,882,190.23457736240303
5235,3078,144.99272256716125
5236,4445,91.04873376689164
5259,575,199.17782286725665
5265,328,210.0252695834544
5268,3702,127.87473066433968
5291,1768,171.09568365845251
5314,2394,158.87376894914723
5327,1376,178.4351714673825
5357,1860,169.3081081925719
5373,4507,83.88889488306206
5387,1219,181.81632637166564
5388,1769,171.09134569405464
5392,2576,154.70273295022233
5400,1271,180.8206743812784
5405,4408,94.05363970315116
5412,753,193.8972111560086
5414,1985,166.51480351682773
5423,2169,162.83428375027438
5458,2354,159.50601980797512
5494,1264,180.88869204014628
5502,3327,139.57339572757368
5520,1335,179.3289863949068
5525,4333,99.5113518246968
5531,1933,167.85542218560295
5546,251,214.6580096220971
5569,2706,152.25994234658936
5572,2426,157.98113566913696
5586,4549,78.88889653908974
5638,1821,170.02136752243467
5656,23,246.28457134731715
5667,1454,176.79176652577598
5684,4024,116.14387753549649
5705,2933,148.0232717766082
5714,4486,86.58723916301479
5716,908,189.65476943998493
5720,3154,143.46223248269305
5755,3332,139.5310975710568
5759,3860,122.91092593708072
5762,101,228.2972014382483
5784,1139,183.93464117532156
5786,40,239.224905082802
5795,3069,145.26685911410567
5799,3747,126.48960270846445
5808,4134,111.0899465149925
5847,897,190.0036031582191
5853,2984,146.85081314623855
5854,853,191.21240946319404
5857,3965,118.7714004729394
5858,384,207.32884704709133
5860,3090,144.79896102225894
5872,2399,158.7792699313183
5875,3455,135.68059490573572
5880,3160,143.22040750642813
5883,563,199.70972158462223
5891,2370,159.2794842941208
5894,342,209.4120622825789
5910,3250,141.20650275038273
5930,1143,183.7648439394053
5931,4584,75.59017037243729
5940,4490,85.60962388272954
5956,4485,86.65459699860641
5957,4330,99.5513896302365
5995,2709,152.220298853449
5997,3683,128.47623065020412
6000,1073,185.70293419124403
6003,4240,105.55484700100384
6012,2141,163.3973802932648
6019,4303,101.36261498803748
6022,4748,35.26053815848667
6026,382,207.3753495868337
6027,4183,108.23558825991098
6046,4271,103.39130809411488
6047,3936,119.91597008760613
6064,2961,147.41687082223723
6074,3412,137.17078203878668
6080,3286,140.56383218921016
6088,419,205.49303978957008
6096,2124,163.84028367819695
6133,778,193.4067773569479
6144,231,216.49051518940357
6160,2770,151.09084241763082
6175,1154,183.504562039608
6182,1496,176.0729682783517
6194,2622,154.05961471548426
6205,4644,68.73343605314749
6218,422,205.4317549142169
6232,3910,120.97829434387226
6233,2655,153.30608114123658
6239,2617,154.1364321220751
6246,3653,129.8906629281095
6259,2298,160.3852164901019
6272,937,189.04743446691555
6287,2817,150.07492730934285
6289,2405,158.63579733127025
6306,13,249.691945046316
6314,2964,147.29403137354316
6324,4607,74.07291148350383
6354,3485,134.74499470944937
6372,3031,146.04271902574826
6382,1370,178.50307294799143
6383,1881,168.94913477007498
6400,1239,181.46690999659245
6418,2763,151.27518131319857
6419,1963,166.91945024935643
6427,4052,114.94002012736716
6438,4059,114.55753108764353
6472,4125,111.3643607273757
6505,186,219.88593920563667
6514,94,228.98673455714203
6529,860,191.02815700963052
6530,2736,151.72826045029484
6550,4137,110.9894501210967
6554,4235,105.86394534731612
6581,308,211.32512571313788
6641,1506,175.86969491523843
6653,118,226.77567674001455
6681,1020,186.96193539114145
6687,4056,114.77512682399929
6688,4654,67.37428408372458
6718,939,188.99509605179088
6732,4335,99.39295889052764
6733,463,203.3420707777957
6736,1113,184.46556083808957
6787,4353,97.92082109533442
6818,4628,71.17116738622646
6820,466,203.27419284013305
6860,4687,62.195014100039785
6876,3486,134.7432482223891
6878,4374,95.8923174706638
6889,3617,130.85591608267464
6891,2330,159.99399283193728
6927,4259,104.07646333486696
6929,4097,112.65389888265744
6939,4464,89.55554703156321
6943,1956,167.2418540927048
6961,4350,98.22928969982112
6962,439,204.30723565475824
6964,3281,140.6449444855244
6989,4305,101.27163201502992
6993,4323,100.12017082200585
6998,4278,102.97320593179847
7023,844,191.43795050533717
7071,582,198.93350401558976
7075,2078,164.69001397529956
7090,165,221.131398071321
7094,476,203.027038623722
7097,4029,115.91179297723828
7109,1186,182.88893591230368
7111,4664,66.22363870173375
7112,4749,35.24714308709538
7141,413,205.9821084856545
7166,791,192.860304102666
7191,346,209.2176494650155
7202,460,203.43237153561887
7290,4501,84.54445925827704
7319,4001,117.38301028339583
7353,4727,50.400332650288206
7361,4683,63.30379986139839
7362,2134,163.5685236388265
7367,4127,111.2985321915779
7368,3559,132.56655747608343
7381,274,212.7581466244679
7388,1595,174.1562174595188
7411,1209,182.1388058644393
7416,4444,91.10044950173622
7428,3843,123.3883036684336
7433,2166,162.8504714915596
7437,14,248.5851785034114
7445,3034,145.88198226083193
7466,799,192.68619500328447
7476,1205,182.2984012828924
7481,2176,162.70638035072932
7486,1352,178.84154300071083
7501,4621,72.01860491493288
7511,1732,171.85281564456125
7523,1939,167.65969597847553
7524,719,194.82375198957575
7533,729,194.47957523444828
7542,317,210.65576914647187
7553,1995,166.35603804956193
7572,126,225.65678503386872
7578,4306,101.18273480843608
7586,142,224.3541962212058
7588,704,195.3909346502172
7596,2837,149.81623327809703
7605,2541,155.39686229618906
7609,2497,156.46396647074064
7614,395,206.61450852997743
7624,4279,102.9670860636074
7631,483,202.6084996839917
7633,3773,125.70946193757432
7638,3420,136.86456735427308
7643,1923,168.07105885609067
7657,3081,144.9505729193334
7667,3862,122.85357600912734
7672,2049,165.31788408408772
7682,913,189.59449214318605
7685,847,191.312535666598
7690,4588,75.32364078157144
7707,2531,155.61354142442818
7715,1161,183.4170614376462
7716,1464,176.63006329466498
7732,4099,112.6329076996714
7753,1221,181.79926556764357
7768,2174,162.73633443191642
7773,2502,156.31206646471807
7775,1836,169.67215910963122
7779,4163,109.60419068271288
7790,1041,186.5026017449604
7791,1425,177.528581582916
7796,2970,147.11201169963047
7835,4605,74.1330718599294
7848,3139,143.74004995534114
7856,4487,86.46612138468738
7865,2721,151.95216278226656
7874,2342,159.81760656533953
7893,4009,116.91554038711116
7896,673,196.301979887098
7924,2374,159.21233064368167
7934,3978,118.46337019610934
7939,3893,121.6890115811316
7962,1899,168.44916102425566
7973,136,224.8709851605757
7981,1150,183.6108799056999
7994,1590,174.2258020770474
8000,1818,170.06712000671425
8015,2472,157.01336637556267
8016,1806,170.3376773528563
8027,1169,183.29134363710213
8028,4636,70.68275535423876
8034,2388,158.95413066636783
8038,499,201.8164365971068
8041,2571,154.84725151795905
8073,1951,167.29621782724024
8076,514,201.3364814547901
8080,549,200.13547605271745
8098,1576,174.5824491657471
8099,4522,81.71379942190788
8118,773,193.5204629865868
8125,927,189.1994748453124
8144,4519,81.98932202743458
8156,3972,118.6055535838779
8170,718,194.87418344246737
8178,940,188.9928528504661
8190,4447,90.85076742130866
8210,676,196.21103236773916
8219,4552,78.74156342564872
8225,80,231.11467370233504
8226,109,227.22724932241624
8266,603,198.23986863429167
8275,2287,160.60363707820355
8278,887,190.15215547512685
8282,4439,91.24713756385016
8290,2100,164.23911211078115
8296,3563,132.40564133946208
8298,4589,75.21108829122878
8315,4048,115.06256480596626
8317,1476,176.38297153565844
8318,843,191.4450574301465
8322,3428,136.59191361441918
8329,314,211.01411721459647
8355,3318,139.76169466120862
8380,2798,150.51338618132937
8384,1878,168.98972318009547
8396,2509,156.15529566448262
8403,2341,159.849725946955
8413,743,194.15071862370385
8453,4634,70.79323871421893
8465,4456,90.34177836171766
8471,932,189.1086711191354
8477,4017,116.5692328807257
8478,1574,174.66839675466622
8481,545,200.18938928995243
8485,1301,179.94774056876355
8486,4147,110.43805056141402
8489,1114,184.46452589731976
8501,1565,174.83136284213165
8505,2010,166.04190761837597
8507,2648,153.42515915561097
8512,4733,46.627821467865296
8513,96,228.64741997177055
8516,4380,95.63447295185831
8524,2679,152.79690614892584
8532,928,189.1899688804961
8533,4318,100.42735420756912
8541,3894,121.66139158694648
8555,1071,185.7139385729609
8556,2500,156.3401296462044
8559,606,198.2153875778143
8580,3048,145.64872232676703
8590,1179,182.99777244241173
8599,862,190.9146461266025
8600,2568,154.90920207476682
8624,166,221.05440022426492
8632,4457,90.03998973863202
8664,1194,182.5695081498672
8680,3309,140.04388223005137
8691,3782,125.49029908992334
8694,3754,126.29247685063822
8700,3973,118.51846541067007
8745,3742,126.56549429878856
8751,4377,95.72419404526626
8755,4213,106.89389813580128
8762,905,189.72286298598507
8772,1846,169.5607114041231
8775,3085,144.89574063393297
8787,1999,166.2680599039483
8798,358,208.34271293147995
8799,4191,107.97679163555856
8812,2018,165.96533744662418
8838,3873,122.60465431383636
8841,903,189.79029604061617
8842,4394,94.82772502284736
8854,2157,162.9427294325779
8875,2060,165.1302359772633
8890,257,214.04093285051408
8895,3991,117.76118393843284
8901,3995,117.6739113261058
8913,354,208.617641480484
8926,4512,82.80509403493191
8929,1155,183.50431847156807
8949,1726,171.9577408274172
8978,4372,96.26124714742672
8992,3007,146.50009084621615
9007,1862,169.269880997853
9010,1847,169.56060294592035
9023,4231,106.00164218192684
9034,1141,183.8757479971548
9041,1925,168.05324315888032
9046,628,197.56377024425507
9053,237,216.04048868233733
9061,1070,185.73852318486
9075,3365,138.80706970448847
9093,3748,126.48498898528187
9099,3490,134.66764040898664
9115,2963,147.35203376357865
9125,1160,183.43731390324945
9138,2282,160.71374419620315
9162,1213,181.9274333766664
9163,3049,145.59585958842166
9171,2209,162.0976860596229
9191,3359,138.93929517495593
9204,2714,152.11924888095714
9205,371,207.6289891201785
9220,705,195.32634417979145
9223,3766,125.90927738047915
9225,4723,51.63472399736706
9235,2323,160.04700536432054
9242,377,207.52437663604607
9249,2800,150.50165895100702
9262,4437,91.49732472869982
9277,1307,179.8330253390724
9292,73,232.59422438096945
9328,2085,164.48082686719206
9357,2705,152.2736622340319
9378,2444,157.6256324095655
9383,1448,176.99387613358374
9390,1952,167.27491868768618
9396,432,204.77961353814823
9400,4269,103.69436759187292
9401,1398,178.0525895416413
9402,1016,187.09486341734572
9403,3816,124.39688771571691
9463,4726,51.39499876014672
9473,3780,125.57035825532432
9492,596,198.45532397965397
9507,671,196.35106062253303
9517,1053,186.10750201092952
9524,3385,138.09578527072526
9535,1246,181.355264942836
9538,4424,92.5323501912924
9542,438,204.35765576708084
9592,402,206.44226931999023
9597,1900,168.44748472340203
9605,3372,138.65993263056188
9621,2728,151.82845064086348
9627,4431,92.02541158856204
9630,3282,140.61027537132605
9633,1276,180.6804398139292
9634,1083,185.3977394305422
9648,528,200.8233844549804
9659,3992,117.72438895874144
9667,4615,72.9386641741599
9679,4177,108.84614645599429
9688,1594,174.20503857471022
9692,1378,178.41854532229544
9709,777,193.46017204749376
9717,2042,165.39438753408487
9724,4,260.4009795687073
9732,947,188.83200139537624
9733,1538,175.29591173718887
9743,1135,184.0247655968074
9750,1344,179.15247841154357
9751,4355,97.85393676109922
9771,155,221.83735725964755
9773,4061,114.49168982725996
9802,4508,83.87587971235638
9843,4550,78.79373869785583
9848,4547,78.9660083656988
9865,3164,143.1731271266485
9881,4564,77.53221228430289
9917,498,201.88097641490407
9946,805,192.4910482367865
9947,3070,145.25759083842576
9967,283,212.3349929384389
9970,3969,118.65066831554816
9975,3897,121.53607575612553
10008,3948,119.59023597903212
