Document Order,ranking,bm25_score
1,3432,99.36748632872792
31,2236,160.7832116727789
41,2410,156.25565344872894
60,1212,184.5952843354452
76,698,198.5036525844557
85,367,212.38951592573773
87,1105,187.49808901379183
114,2766,145.50599923896164
130,1965,167.1110872528754
140,1710,173.25100646292287
169,625,201.33421387015036
177,1289,182.91799011578303
180,3365,110.8735712214591
197,2448,155.3306881513411
204,3040,134.7202189147191
240,877,193.51641309043828
245,1287,183.03714800277623
285,1092,187.71404645756007
288,95,234.14600730029176
301,977,190.97704122597025
313,1728,172.75624074653038
325,1608,175.65297461715986
342,803,195.6539339731084
343,563,203.70548569385036
345,636,200.7601744754725
351,276,218.25489495669476
352,2980,137.26811605389466
368,3201,125.99804260256256
376,1605,175.67799088308414
380,391,211.31830712684763
406,615,201.5916469887825
441,2983,137.04579799033544
471,1987,166.60329495018732
501,1437,179.58744795876663
547,1855,170.08488698270207
569,2633,149.7857107025701
585,2062,165.0783800527446
596,2314,158.56584604672864
615,1352,181.3182395988917
655,1538,177.11361437725245
656,1598,175.88989066400094
661,1118,187.10142181692865
666,71,237.93958989322005
668,895,193.00421899577083
694,2992,136.80359267216605
739,3524,37.81092535616772
746,2364,157.40662817106332
776,3480,80.78701487299783
782,567,203.64541277751596
787,866,193.99082431563653
834,3234,123.44415981326034
835,327,214.94965911610265
845,3291,119.1444101435708
848,3316,117.16141775725796
876,920,192.29858892225147
879,1731,172.71542903304578
919,80,235.61369796641344
921,3364,110.89517867892722
964,1154,186.3683432217887
974,1843,170.2862216468578
1018,846,194.3779622127076
1029,3403,103.90637319724384
1030,1370,181.03888537307827
1082,3245,122.71999085681009
1103,1288,182.9379072475949
1105,1508,177.82645045325418
1120,1826,170.6698653298319
1121,3136,129.95330431597293
1127,862,194.0967767843632
1159,2234,160.8284021320716
1165,1152,186.382388500015
1184,611,201.66444296569009
1194,1251,183.8567380109108
1219,439,208.66167000328105
1231,2361,157.4664138337339
1254,2788,144.53976082928415
1273,3011,136.1228946386656
1276,1245,183.93444294424395
1295,2015,165.95819626484558
1314,572,203.38951369090736
1337,3409,103.47677189260412
1435,3292,119.0959304295441
1464,2279,159.56535808169534
1477,3190,126.77328057342822
1488,2219,161.21987093889985
1495,2242,160.64760716769936
1500,514,205.1743076810044
1502,753,197.0541844336441
1506,654,200.14856795336308
1509,1425,179.81144119343725
1510,663,199.80277057322516
1548,148,228.5422168069159
1553,2391,156.70961778725373
1555,1186,185.44363495902985
1577,640,200.52150993554383
1618,1299,182.47799399547932
1627,3091,132.04039229826913
1631,2359,157.50564496314215
1634,2818,143.4926214498674
1645,1323,181.82242007817152
1681,2205,161.60620075171653
1695,3438,97.25670117252427
1718,386,211.6463222841901
1727,3074,132.87528190948663
1738,562,203.75405571763028
1796,125,230.53981456898055
1832,802,195.6661198989057
1861,2280,159.4902503000693
1884,835,194.58608254540408
1933,3470,87.20911148659238
1937,1319,181.9599135692264
1948,787,196.06893306954348
2021,964,191.2296789296525
2031,301,216.48275755841595
2034,14,255.0009204644924
2086,2821,143.476366855032
2102,189,224.35556423433616
2104,178,225.2773771750318
2138,677,199.24587875147097
2169,1989,166.57336760869876
2170,2257,160.23118283921707
2175,2382,156.97684705326
2181,3485,79.32810092980279
2204,3137,129.91611249944376
2220,50,242.35257677186416
2226,39,244.5048932783156
2231,365,212.62296222011028
2243,2907,140.20293377400395
2260,464,207.4187180508529
2272,450,208.1286576223292
2287,1666,174.23747435818325
2298,66,238.8565708978292
2304,3417,101.70383354425114
