Document Order,ranking,bm25_score
11,2891,147.52803443276335
26,1848,168.44442524855518
31,2350,158.61374258709552
47,3044,144.49586146507866
50,970,187.56651136022109
76,717,194.4631132907417
81,4609,63.76022930573354
87,1115,183.71526667588608
130,1976,165.85530203663808
142,1008,186.5525063507704
177,1261,180.18947411172428
180,4042,112.06435275862366
185,2272,160.021572661113
187,4057,111.19581418530046
193,1667,172.1843682619045
201,3994,114.2619875381762
204,3435,134.46617797240842
217,4467,80.90756428062056
240,797,192.08494690894375
253,4386,89.5156531546248
285,1047,185.41821530700105
286,3898,118.4361612714942
301,995,187.03270627456743
309,2042,164.34576761552228
325,1636,172.87689275599476
342,778,192.60242102547832
343,529,200.4300352963127
345,637,196.7411419439172
351,250,215.2457747689524
380,406,206.25284682658415
391,579,198.4310815430804
406,669,195.9285687511605
416,4377,90.3828191214971
419,3989,114.36077337100532
430,1136,183.26527357919957
485,2293,159.65954495921682
487,1861,168.28466494192313
501,1462,176.24812709243915
579,1270,179.97338993323888
585,2055,163.975509250644
596,2385,157.86126991405337
615,1244,180.59409680867623
635,2468,156.1646118785706
652,2732,151.02059866616696
655,1524,175.00885867688592
656,1579,173.9182102595718
661,1056,185.179920912119
666,63,233.9670283031745
674,432,204.697160957576
694,3342,137.03315395163563
700,2334,158.93104685889418
701,3814,122.08398087952094
711,4583,67.0279194267814
714,3607,129.71053711210865
739,4681,38.87357363120071
750,2658,152.36857724557808
763,854,190.6987175988392
778,4155,105.6979235168522
782,477,202.42296228044304
787,785,192.44808435526497
790,4252,99.62353451003496
800,2415,157.17771185561335
834,3733,124.99970814817684
838,2398,157.56714358749986
845,3873,119.34947081176615
876,912,189.0355010529653
891,3773,123.5143717493944
914,3237,139.60799817602845
919,90,229.29867170497863
921,4043,112.00053987712025
925,407,206.21434143851408
952,1072,184.7932720961043
964,975,187.39247634362084
974,1970,165.96059199069072
1012,3225,139.9709570523548
1029,4163,105.4192886331987
1030,1360,178.13956757703517
1039,4647,55.7756724476055
1043,4602,64.57530587876458
1082,3794,122.77298641735209
1105,1477,175.93475998565344
1111,497,201.49995854512449
1127,810,191.81665470695623
1140,1399,177.31714891822227
1160,555,199.29611143047163
1165,1114,183.7259992522503
1167,936,188.46741408740587
1168,1754,170.47542830125164
1179,4619,62.05714736570837
1185,4083,109.91229006490272
1186,4488,79.02196392062486
1194,1155,182.7544556309831
1198,4318,94.94597734002735
1219,422,205.20392274403636
1241,3617,129.27759247529485
1245,3832,120.99258945849758
1246,693,195.05484550594068
1276,1185,181.85027100983245
1287,2147,162.3915452758745
1288,4301,96.1002985339691
1290,3590,130.06130352372023
1312,685,195.3484709025504
1314,548,199.58611307312432
1320,4304,96.01894617931772
1343,3860,119.93160069990512
1362,4323,94.57274150297
1368,800,192.02250352585057
1397,3665,127.6461367196985
1435,3891,118.67771135186648
1457,2847,148.45292317973144
1477,3725,125.30846656586353
1488,2324,159.12409396490736
1495,2268,160.0766422521306
