Document Order,ranking,bm25_score
1054,1642,175.69948978805184
1082,3296,122.18734155787774
1105,1561,177.29902191591017
1106,2179,163.74353970501556
1111,565,203.6750874797762
1127,907,192.79861239202108
1140,1473,179.6647717490609
1151,3566,69.62468938759982
1159,2293,160.7762057922699
1160,612,202.02340368618192
1165,1217,185.5265991193513
1168,1805,172.32719576174574
1184,638,201.1318463715916
1186,3546,77.27028165096641
1190,240,221.386247927542
1194,1301,183.5506642360793
1231,2449,156.608771075615
1241,3213,128.19796827181554
1246,740,197.6632541763278
1261,1570,177.05926056628806
1270,2065,166.07923167262143
1288,3508,93.803888456869
1314,584,203.0862266990748
1320,3511,93.73346596694414
1337,3464,103.54120691177532
1389,2748,149.16802257837358
1397,3219,127.80845165614691
1457,2837,146.13015157771156
1466,3429,108.58111230534084
1488,2279,161.08693868584422
1495,2314,160.20362561527503
1500,535,204.71746581670047
1502,757,197.2199575096332
1506,686,199.5051643747588
1509,1476,179.56085180899225
1510,668,200.29927719539785
1526,3122,134.4049345206765
1548,152,228.04290407591856
1553,2479,156.0636916686169
1555,1218,185.5155751506087
1577,702,198.89602511197631
1627,3160,131.7752360754085
1631,2448,156.64249029091084
1681,2275,161.18290956046735
1683,2412,157.5837307804784
1688,794,196.1961386340689
1705,2197,163.2084311448407
1718,420,210.29479614992363
1724,1623,176.03678162639113
1727,3140,133.0810759457414
1738,586,203.0040879696964
1785,3458,104.29437424688774
1796,131,229.78566102156813
1801,2057,166.3185479179122
1810,2550,154.26578212468107
1832,845,194.6032294774566
1840,2368,158.84638270830916
1872,604,202.1716318623992
1894,3378,114.9847773344804
1910,474,207.24515729321544
1933,3527,86.67333842696586
1937,1400,181.09327770555265
1948,810,195.57728334485705
1951,2951,142.5162775925348
1957,1730,173.9127788595282
1978,1101,188.3856060014537
2021,1007,190.51957321156505
2031,322,215.65061076772685
2034,13,255.49331652931613
2101,3533,83.57179352415815
2102,200,223.93739867710136
2104,188,224.6056291213355
2138,721,198.1864322200006
2187,3539,78.93711873896885
2191,3411,111.00999809905062
2201,3196,129.53812238410345
2204,3198,129.45441839415236
2219,3470,102.7032487301536
2220,53,242.4339517346438
2226,47,243.1754627644828
2231,385,211.97764214393936
2260,492,206.539994182532
2272,464,207.9819406752566
2287,1734,173.81114800814666
2296,3131,133.6906913624857
2298,70,238.19503071267448
2299,2546,154.3853588957837
2347,1908,169.95113063747436
2359,2943,142.8795498884284
2365,1536,177.76947976365236
2368,1927,169.61572065597193
2399,1661,175.35942224308835
2414,1258,184.47802975726964
2415,2652,151.8366329806588
2439,2364,159.00802626681215
2440,3327,119.42708328882225
2464,2428,157.2020866904611
2471,2397,158.0771049382582
2512,2171,163.93401083953358
2532,1140,187.5906185898127
2541,2907,143.99127336471227
2551,1951,169.08203891123546
2555,2819,146.7133456806536
2578,1341,182.73253975402477
2593,852,194.490634938663
2595,249,220.5572269315878
2607,2181,163.63703673763402
2613,3376,115.11569583284758
2637,2076,165.86775624995383
2640,1921,169.76391359674375
2686,1797,172.48416869571642
2706,1062,189.3595826069594
2723,3102,135.49862056305378
2744,1411,180.8822900184281
2754,1143,187.56462394339036
2760,1533,178.03709706218928
2807,3543,77.38524538924052
2811,3412,110.8874251514372
2817,1660,175.37464216992203
2818,2020,167.27174516816316
2826,2801,147.41314662673335
2830,2109,165.31198057300114
2869,2894,144.49267450368674
2870,2660,151.6413789917666
2873,132,229.69483854275444
2892,2303,160.5940359724501
2896,355,213.59805888833736
2897,2013,167.4530788911138
2898,766,196.99152025484415
2903,297,217.4192075257637
2943,2285,160.94230605467234
2964,102,233.48872109423849
3010,25,250.96053354555207
3012,815,195.4489042879663
3020,2768,148.50711949268114
3024,2407,157.8040062343602
3048,2800,147.4174404545056
3078,1159,186.98598555159023
3086,209,223.28395908654215
3108,1409,180.90225223154937
3113,3426,109.30631513260546
3128,750,197.41209935743456
3143,3247,125.97736920043126
3146,159,227.4659284046729
3150,1838,171.49855635649556
3156,251,220.3530686395453
3194,2317,160.0689918357173
3195,1550,177.5745975260662
3197,2917,143.64394566861804
3204,3420,109.86852445070625
3220,2555,154.16492584084918
3250,1412,180.8534040928163
3251,3259,125.191684162693
3260,2280,161.04462180810336
3261,511,205.85708176832705
3276,1692,174.75159766247117
3291,1776,172.74637157701537
3292,286,217.9573452802928
3295,148,228.313135090298
3296,1555,177.41663634894232
3340,299,217.1317941499511
3352,1705,174.46072707996174
3358,3371,115.59118100643636
3369,3236,126.59826820139904
3377,884,193.50362128473307
3423,2764,148.78857268057055
3426,245,220.81521403862783
3429,3515,91.58050371056594
3464,1337,182.8776384004341
3525,3503,94.70434330612753
3526,1095,188.5094314429276
3549,2298,160.65806964667394
3559,300,217.1150360183997
3569,2882,144.881686931657
3589,569,203.6097617654824
3608,3033,139.2810839719649
3629,496,206.46114813359068
3633,1493,179.12555854600274
3639,2377,158.64133329644378
3662,749,197.4202380619197
3676,1542,177.70881409417905
3679,3564,70.19704236581721
3733,1613,176.30210753566612
3740,3108,135.29073774238344
3762,1162,186.9614480143009
3776,588,202.95111861826595
3793,82,236.12438512411893
3802,482,206.8641042351232
3816,3058,137.859430121896
3817,1552,177.51474685796546
3829,3559,71.82664094802435
3846,1710,174.40068609965925
3849,239,221.5629703998765
3854,2538,154.52411158371098
3869,2568,153.88599723287433
3904,2281,161.0351466944767
3924,1603,176.47613459899105
3944,593,202.74747162190877
3977,3573,61.3213653400423
3981,3315,120.68816711549384
3989,1817,171.8640285929995
4002,3162,131.65360955973512
4008,959,191.5878776808592
4026,912,192.727477915382
4038,34,247.797958657632
4094,2983,141.3992910934567
4098,1425,180.66214847186197
4154,2069,165.99977583896614
4159,2773,148.26216122123768
4193,688,199.4801171135771
4198,1627,175.9966217676807
4204,3448,105.5054758880602
4221,1331,183.0090634221762
4228,1538,177.7496027830307
4247,121,230.6697274068808
4250,2167,164.06700177956648
4287,2930,143.38087151091003
4329,1253,184.55088278086723
4337,2609,152.72842535292438
4340,2175,163.85204381746473
4350,2517,154.98917776479024
4360,667,200.3113837352378
4361,2443,156.82338469905164
4369,3229,127.1151285530318
4381,1465,179.93898514464868
4387,1381,181.66418556420507
4409,3558,72.22819282351787
4433,3356,117.14152447798602
4434,1503,178.87969764884818
4454,544,204.29148831983957
4455,275,218.410219936674
4469,1281,183.9035228579592
4473,2780,148.11043432602133
4479,3548,76.60956738909658
4480,1188,186.26428865565347
4494,2729,149.59034901258528
4498,1654,175.45748790767084
4516,3473,100.57393479340936
4533,2035,166.94277512310953
4571,1420,180.7383489486349
4573,292,217.58748920434107
4574,2770,148.4738803209204
4591,2143,164.4799368158702
4601,1332,182.9916758570185
4622,58,240.9794719630524
4644,2692,150.83028822870088
4645,175,225.81855464784968
4656,557,203.879427059858
4700,3119,134.52794122142495
4716,3159,131.84455818898266
4721,360,213.4223344968744
4724,324,215.54275438947704
4750,2432,157.15312534799878
4756,427,209.8553090535333
4758,138,228.8928031584429
4759,1170,186.82683383943
4762,218,222.67282511465595
4764,1991,168.0363172055102
4768,3491,97.38061843605512
4771,3194,129.61918893952517
4810,2726,149.757277385051
4814,99,233.69540656026405
4821,1902,170.04981317346858
4831,54,242.21665710749377
4852,2095,165.49895167011334
4854,2424,157.30945833110582
4855,2357,159.1160816151326
4870,1210,185.7001587440897
4878,2949,142.59722228268882
4881,1624,176.0256356486257
4896,1179,186.510150063575
4913,505,206.17318087775396
4932,1481,179.51737773175162
4933,2455,156.48641136901674
4936,2244,161.9183886809032
4943,3465,103.10827426099796
4969,2239,162.0647645902035
4975,2306,160.4806761463462
4987,2450,156.60100190320284
4991,914,192.70682842555763
4996,215,222.8502580905762
4997,3489,97.7544505652272
4999,3463,103.64937892174532
5040,67,239.20919512341612
5095,3495,96.25028692714592
5179,2072,165.94287360478054
5197,1149,187.25453100906105
5217,2154,164.23421860185348
5228,861,193.99296391068623
5234,2540,154.51445614130904
5235,2862,145.6010223713574
5265,376,212.5464480898573
5276,3435,107.43926508617196
5291,1760,173.29343415520415
5323,295,217.48383071436052
5327,1406,180.9384637161021
5334,1727,173.95900841126644
5338,1307,183.42513380886663
5357,1892,170.39526237793086
5365,2519,154.97413427452494
5387,1313,183.2691910384752
5405,3514,91.89928807617824
5412,963,191.51481072524007
5424,1091,188.59696640322747
5437,3185,130.22007516500426
5473,3257,125.26000493576042
5477,937,192.08087590569
5520,1382,181.60145831710705
5528,125,230.41079738416903
5531,1933,169.47115050790595
5569,2523,154.8796509209823
5572,2319,160.028008493922
5575,656,200.6140761321061
5579,3392,114.02887353487915
5602,3579,52.97561045347065
5618,945,191.813411751098
5656,30,249.241041173783
5705,2718,149.9663333524271
5714,3528,86.55015809093656
5716,872,193.81777589462575
5762,95,233.8879844139256
5786,45,243.2933892533078
5795,2922,143.54209067986196
5799,3235,126.7333039447397
5823,729,197.9662110721136
5828,1961,168.76852359056133
5847,997,190.67435045575908
5854,956,191.62695603472676
5858,435,209.54871140124555
5860,2848,145.94013496865497
5862,3513,92.34825890746755
5872,2346,159.28445011469216
5883,589,202.91006080814915
5894,332,214.84548019625905
5925,305,216.91553160542537
5930,1215,185.60243865176855
5933,833,194.89257550192983
5940,3532,83.99882519986338
5967,214,223.10359914970184
5969,3550,75.16949865297512
5970,803,195.7973288665364
5995,2566,153.8963706033328
6012,2129,164.75981788800613
6013,3245,126.28083222254216
6026,375,212.599740818391
6027,3440,106.48263059629272
6033,3035,139.08699216491647
6051,2528,154.68641002751176
6071,930,192.33923277909724
6084,3069,137.04730784520513
6088,508,206.048042184145
6096,2119,165.0019162635955
6144,270,219.16072945311103
6160,2680,151.20922726566153
6165,211,223.13239085453503
6166,3496,96.17403248708592
6194,2511,155.1804308826816
6218,478,207.06779584026964
6231,2910,143.88901904988725
6233,2547,154.35046926815463
6238,735,197.80418120310125
6239,2493,155.73586177909786
6247,2176,163.8482667959184
6259,2193,163.46087122261312
6266,1766,173.05786745954154
6272,992,190.85099546334183
6296,3328,119.38261282550197
6298,2643,152.05130908090862
6306,15,254.09938028896377
6327,3540,78.28963554426397
6375,3224,127.56415223417304
6382,1592,176.6672675957185
6383,1856,171.1033554525913
6416,795,196.14128257791452
6418,2625,152.36761630698078
6419,1938,169.30896370626647
6438,3396,113.61608608773328
6450,158,227.5931351081274
6478,3052,138.19164013880254
6505,194,224.2618393209744
6514,112,232.06238910702905
6529,926,192.4272336690409
6530,2612,152.64562719202928
6536,537,204.5314612188176
6550,3415,110.49553468417682
6553,2415,157.47927617153445
6564,2416,157.47909962555084
6581,362,213.2882097503024
6641,1535,177.95744392388522
6653,116,231.86107524057795
6671,3226,127.2054019856288
6681,1126,187.8956968576657
6699,339,214.5305736116157
6733,527,205.00807286454443
6736,1190,186.2275847316276
6757,1113,188.08408871452852
6784,3174,130.97715625339785
6801,2733,149.5010925106191
6820,507,206.1231787620656
6878,3500,95.19075399399536
6889,3163,131.65105701567128
6906,754,197.2703973712377
6961,3492,97.17201564648504
6969,3454,104.58245060909113
6989,3477,99.60434853114262
6990,834,194.8452426476379
6993,3486,98.19590644716315
7023,924,192.46181399370536
7050,1644,175.58565831314098
7071,626,201.47035494151567
7075,2092,165.51717077714207
7090,161,227.26034545222532
7094,567,203.65824409355764
7097,3387,114.3940256613878
7110,3006,140.4969910281415
7128,1619,176.13632391416178
7166,899,193.1472972561968
7182,1167,186.8427389600961
7191,351,213.94872534885965
7202,504,206.24548735293263
7229,3483,98.96788230346776
7262,2820,146.6550298169692
7296,1330,183.0156899072683
7349,1667,175.29414038919518
7362,2068,166.05350901303032
7380,2356,159.117669063461
7381,315,215.9149383224996
7388,1768,173.03381016579323
7411,1317,183.21806073156844
7413,1879,170.67326744442613
7433,2224,162.5287778094464
7437,24,251.04499478936845
7470,202,223.8208950489505
7486,1408,180.91505357861823
7501,3562,70.51558826493559
7511,1616,176.20899923779407
7523,1895,170.19782173555205
7533,812,195.55513328285528
7542,407,210.77393598427545
7553,1988,168.13122723665546
7560,2712,150.13617849495043
7572,147,228.42544756051376
7575,1666,175.2943661187534
7586,174,225.9147825405002
7588,759,197.203373281294
7605,2505,155.4304958601974
7607,2473,156.1966084207935
7614,450,208.8116024065548
7631,532,204.8043321333581
7643,1907,169.95391279692222
7676,2898,144.2285743786351
7682,878,193.61018615806933
7715,1198,185.98069719344957
7716,1612,176.3262492228533
7753,1248,184.7123728486997
7796,2826,146.5105993716315
7858,467,207.7332269091385
7872,1115,188.00509188302493
7874,2273,161.21866375544087
7878,3112,135.04378443954027
7896,684,199.65119501450295
7924,2325,159.96228470293346
7949,3493,97.00797137630607
7962,1860,171.07515189101275
7973,168,226.4073522559296
8027,1099,188.4047674785053
8032,3576,57.4988894560812
8034,2331,159.750263313627
8038,599,202.4449711697396
8041,2457,156.45042130715038
8051,1756,173.3708533054352
8062,765,197.00031469042287
8073,2033,166.9692350875241
8074,1966,168.65502281976802
8076,571,203.56526556148037
8098,1585,176.84039242353782
8107,3363,116.372731122237
8109,2716,150.01961322422315
8125,917,192.6207188553197
8156,3331,119.3037698302134
8178,955,191.6272575320754
8182,172,225.98966247761004
8210,701,198.928107857222
8217,2324,159.99801344097216
8225,109,232.41804438645644
8226,92,234.3212612137429
8266,621,201.58681480462417
8275,2237,162.18191815301543
8296,3171,131.1798586585801
8317,1586,176.81712099614438
8318,922,192.4672641214017
8329,366,213.09781879478356
8338,1849,171.24302823680773
8362,3334,119.14128002909396
8396,2461,156.39291894608417
8403,2336,159.5810426566884
8408,1978,168.43650326972286
8413,775,196.78563447593143
8471,1127,187.88350003691025
8478,1622,176.09982614931857
8480,2036,166.9305800684345
8481,564,203.71415690888165
8486,3430,108.21367415201144
8489,1247,184.72383573501816
8501,1759,173.30246283182908
8507,2573,153.72422198909598
8513,105,233.1408058915037
8516,3502,94.7229898212574
8532,1020,190.2191067739905
8541,3305,121.38139151563888
8543,1852,171.14563083201838
8555,1030,190.0667707980704
8556,2444,156.7554949753767
8590,1230,185.17572038033865
8599,847,194.58405997520907
8600,2386,158.45690737146742
8624,223,222.5304432189375
8664,1240,184.8475274098285
8680,3048,138.48802145794247
8692,3565,69.8488649524169
8699,1772,172.8896249081168
8704,3386,114.40381334348642
8738,253,220.20946322208363
8749,3083,136.4743512148899
8762,932,192.196760579216
8787,2067,166.0580222114496
8798,421,210.2857955134231
8838,3309,121.04777851431638
8841,1033,189.9709417970291
8890,316,215.914697661997
8892,2383,158.48820270394737
8896,1354,182.40991603172475
8901,3369,115.63797085701084
8929,1282,183.8859040038961
8957,1325,183.08197084512423
8967,2728,149.61125671869655
8992,2755,148.97631934996116
9010,1950,169.09911181267557
9017,1310,183.32625850579305
9023,3439,106.6551149790673
9034,1157,187.0185387231908
9046,679,199.7983259437084
9053,277,218.30294515074425
9061,1166,186.8692180992388
9062,2283,160.99761351393434
9065,3373,115.24439516709823
9075,3047,138.49676720921207
9082,2912,143.8263748781181
9093,3253,125.3561936693582
9162,1271,184.11755146213991
9163,2866,145.47961603495762
9176,1971,168.6137803477501
9191,3054,138.1660560792942
9205,405,210.989593766183
9242,454,208.53622749508887
9249,2749,149.1605952249207
9264,1636,175.78971309796393
9277,1433,180.5289962591959
9292,126,230.31801305577247
9378,2328,159.9157928726241
9388,575,203.4557566903321
9396,476,207.203439757296
9400,3472,102.31064028097276
9402,1069,189.20161463537409
9437,290,217.64669727653495
9473,3239,126.49551748257076
9507,743,197.59668789335737
9515,2952,142.50272022469045
9517,1266,184.22762723559728
9531,475,207.22023403433457
9535,1348,182.52100940305223
9542,531,204.8691198976168
9597,1923,169.69875854753852
9605,3074,136.88195610968526
9610,2043,166.73822707847307
9630,3020,140.01612082886876
9633,1318,183.1504295404336
9634,1199,185.951792061592
9648,550,204.0625673245681
9651,430,209.7605675486481
9709,896,193.1862740103913
9717,2091,165.55391686933004
9724,8,264.07077354533925
9732,1027,190.10756742353
9733,1602,176.48491807223888
9750,1500,178.95489540183092
9771,142,228.67541063040144
9776,1139,187.60299260750693
9827,3445,105.91078176613958
9845,3153,132.14749438460703
9846,2613,152.64036544662895
9884,1242,184.83456461038656
9896,1837,171.49901265239205
9899,3046,138.51678104291983
9905,961,191.526142013744
9917,602,202.2756082089577
9946,818,195.3659248604436
9947,2854,145.75139864806968
9967,350,213.95274365914827
9970,3321,120.1043251734264
9979,2371,158.81105316728775
10008,3320,120.17283194078884
